paragraph,predict_label,count,different,empty,diff rate,empty rate
1 The Renwu Complex is installed with the flood control pumps and inspection repair and maintenance are performed periodically in order,5,26,diff,empty,,
to reduce the occurrence of flooding in the complex due to heavy rainfallflood To maintain the normal operations of the flood control,5,26,diff,empty,,
facility the annual flood control pump maintenance repair and inspection expense is approximately NT1622 thousand,5,26,diff,empty,,
2 For the Mailiao Complex major desilting and dredging operation is performed annually and its annual cost is approximately NT37085,23,26,diff,empty,,
thousand in order to reduce the probability of flooding in the complex due to heavy rainfallflood,5,26,diff,empty,,
FPC periodically monitors and manages the energy consumption and water consumption of each complex on a monthly basis and establishes,24,20,diff,,,
climate change countermeasures to mitigate the risk arising from the climate change,13,25,diff,,,
1 To cope with potential risk of production suspension due to water shortage or drought at the complex the Renwu Complex has excavated,20,12,diff,,,
2 antidrought wells and an amount of 2300 M3 water supply can be increased daily,20,20,,,,
2 FPC also cooperates with government departments to develop the subsurface water of the Donggang River and Gaoping River in order,20,20,,,,
to stabilize the water source supply In addition FPC also assesses the development of the Huliao River high ammonia nitrogen wastewater,20,20,,,,
treatment in order to acquire water rights via the reclaimed water exchange method,20,20,,,,
FPC implements a circular economy and develops PCR postconsumer recycled resin materials in order to effectively reduce the oil extraction,15,26,diff,empty,,
plastics raw materials production and carbon emission of the product,15,21,diff,,,
PP renewable materials will be used in the PCR woven bags and the annual production and sales volume for 2025 is estimated to be 1620,15,26,diff,empty,,
tonsyear and is expected to increase the revenue by NT2160 thousandyear,12,26,diff,empty,,
FPCs Polypropylene PP Div has developed lightweight PP ecofriendly automobile materials that can be used for vehicle dashboard,15,26,diff,empty,,
decorative panel lamp inner casing and bumper thereby effectively reducing vehicle weight saving vehicle energy consumption and reducing,24,24,,,,
The estimated existing lightweight PP material sales volume is 61313 tonsyear and it is expected to increase the revenue by NT2262449,15,26,diff,empty,,
To cope with the international trend FPC continues to research and develop carbon fiber used for the wind power generator blades the EVA,15,24,diff,,,
materials used for solar power packaging film and HDPE used for solar power offshore platform pipelines,19,24,diff,,,
1 In 2022 the global demand for offshore wind power continues to increase and the demand for largetow carbon fiber is greater than,24,24,,,,
supply FPCs wind power carbon fiber revenue in 2022 increases by NT336000 thousand from the revenue in 2021,24,24,,,,
2 In alignment with the global energy conservation and carbon reduction and new energy development trends according to the,24,24,,,,
resolution approval of FPCs Board of Directors on May 10 2022 FPC invests NT175 billion to jointly establish Formosa Smart Energy,12,7,diff,,,
Tech Corporation to promote the transformation and development of the energy industry which will integrate the new energyrelated,24,4,diff,,,
departments within the Formosa Group to build a layout in the new energy industry,12,24,diff,,,
Taiwan will decrease by 15 the rate of strong typhoons will increase by,13,26,diff,empty,,
100 and the typhoon precipitation will increase by 20,13,26,diff,empty,,
1 With the period of 19862005 as the base period the recent weather,13,26,diff,empty,,
condition at the complex 20162035 is predicted Under the scenarios,12,26,diff,empty,,
of RCP45 and RCP85 the maximum consecutive days of precipitation,23,26,diff,empty,,
are 59129 days with a total precipitation of 1017mm2373mm,23,26,diff,empty,,
For the RCP85 scenario it is predicted that the number of typhoons in,13,26,diff,empty,,
2 Considering the impact of strong winds or typhoons caused by,13,10,diff,,,
abnormal climate events it is necessary to provide safe parking at the,13,25,diff,,,
complex in order to prevent process hazard Considering the impact of,5,9,diff,,,
heavy rainfallflood operations at the complex will be suspended due,5,26,diff,empty,,
condition at the complex 20162035 is predicted For each year,12,26,diff,empty,,
1 With the period of 19862005 as the base period the recent weather,13,26,diff,empty,,
there will be a period of two months with the condition of water shortage,20,20,,,,
2 Water shortage or drought caused by abnormal climate will cause,20,13,diff,,,
Considering the product life cycle and product value chain in 2021 FPC,15,26,diff,empty,,
has invested an amount of NT273 billion in research and development,2,4,diff,,,
in order to develop lowcarbon products FPC has made improvements in,15,26,diff,empty,,
three aspects of reducing the consumption of raw materials improving the,24,26,diff,empty,,
process and reducing transportation in the supply chain while adopting,17,17,,,,
the concept of a circular economy by recycling and reusing the waste gas,19,19,,,,
and waste from the processes in order to reduce production costs and to,19,19,,,,
promote the sustainable use of resources at the same time,23,26,diff,empty,,
1 According to the requirements of EUs new vehicle emission standard,21,26,diff,empty,,
imposed on the automobile manufacturing industry by 2030 the,24,15,diff,,,
average carbon dioxide emission of new exfactory vehicles and vans,21,21,,,,
must be reduced by 13 from the emission in 2021,21,26,diff,empty,,
2 The lightweight PP material manufactured by FPC can be applied,15,26,diff,empty,,
to auto parts thereby reducing vehicle weight and improving fuel,24,26,diff,empty,,
efficiency and reducing carbon emission Accordingly the sales order,21,24,diff,,,
on such material is expected to increase in the future,15,26,diff,empty,,
Paris Agreement was passed in the UN COP21 Summit on December,12,26,diff,empty,,
12 2015 Nations around the globe all agree with the voluntary reduction,12,19,diff,,,
of greenhouse gas emission and the world is under the crucial era for,25,25,,,,
energy transformation Renewable energyrelated issues will become the,24,24,,,,
new engine driving the economic growth in the future Since the products,15,4,diff,,,
manufactured by FPC can be applied to wind power generation and solar,24,24,,,,
power generation the product revenue is expected to increase in the,15,24,diff,,,
Analysis of Current Risks or Opportunities possible impact on the company,18,4,diff,,,
FPC periodically monitors and manages the energy consumption and water consumption of each complex on a monthly basis and establishes climate change countermeasures to mitigate the risk arising from the climate change,13,25,diff,,,
1 The Renwu Complex is installed with the flood control pumps and inspection repair and maintenance are performed periodically in order to reduce the occurrence of flooding in the complex due to heavy rainfallflood To maintain the normal operations of the flood control facility the annual flood control pump maintenance repair and inspection expense is approximately NT1622 thousand,5,26,diff,empty,,
2 For the Mailiao Complex major desilting and dredging operation is performed annually and its annual cost is approximately NT37085,23,26,diff,empty,,
thousand in order to reduce the probability of flooding in the complex due to heavy rainfallflood,5,26,diff,empty,,
FPC periodically monitors and manages the energy consumption and water consumption of each complex on a monthly basis and establishes climate change countermeasures to mitigate the risk arising from the climate change,13,25,diff,,,
1 To cope with potential risk of production suspension due to water shortage or drought at the complex the Renwu Complex has excavated,20,12,diff,,,
2 antidrought wells and an amount of 2300 M3 water supply can be increased daily,20,20,,,,
2 FPC also cooperates with government departments to develop the subsurface water of the Donggang River and Gaoping River in order to stabilize the water source supply In addition FPC also assesses the development of the Huliao River high ammonia nitrogen wastewater treatment in order to acquire water rights via the reclaimed water exchange method,20,20,,,,
FPC implements a circular economy and develops PCR postconsumer recycled resin materials in order to effectively reduce the oil extraction plastics raw materials production and carbon emission of the product,15,21,diff,,,
PP renewable materials will be used in the PCR woven bags and the annual production and sales volume for 2025 is estimated to be 1620 tonsyear and is expected to increase the revenue by NT2160 thousandyear,15,26,diff,empty,,
FPCs Polypropylene PP Div has developed lightweight PP ecofriendly automobile materials that can be used for vehicle dashboard decorative panel lamp inner casing and bumper thereby effectively reducing vehicle weight saving vehicle energy consumption and reducing greenhouse gas emission,25,25,,,,
The estimated existing lightweight PP material sales volume is 61313 tonsyear and it is expected to increase the revenue by NT2262449 thousandyear,15,26,diff,empty,,
To cope with the international trend FPC continues to research and develop carbon fiber used for the wind power generator blades the EVA materials used for solar power packaging film and HDPE used for solar power offshore platform pipelines,15,24,diff,,,
1 In 2022 the global demand for offshore wind power continues to increase and the demand for largetow carbon fiber is greater than,24,24,,,,
supply FPCs wind power carbon fiber revenue in 2022 increases by NT336000 thousand from the revenue in 2021,24,24,,,,
2 In alignment with the global energy conservation and carbon reduction and new energy development trends according to the,24,24,,,,
resolution approval of FPCs Board of Directors on May 10 2022 FPC invests NT175 billion to jointly establish Formosa Smart Energy Tech Corporation to promote the transformation and development of the energy industry which will integrate the new energyrelated departments within the Formosa Group to build a layout in the new energy industry,24,24,,,,
14GovernanceMetrics and TargetsAppendix32Management of Climate Change Risks and OpportunitiesStrategyClimaterelated Financial Disclosure Report,13,12,diff,,,
According to the TCFDs recommendations FPC adopts the worstcase scenario for the transition and the physical risks and includes the analysis results in the strategic resilience assessment,3,4,diff,,,
Regarding the transformation risk FPC makes reference to the IEA WEO 450 Scenario 2016 and the Nationally Determined,18,12,diff,,,
Contribution NDC target set by each manufacturing site In Taiwans Intended Nationally Determined Contribution INDC report,17,15,diff,,,
the greenhouse gas emissions are set to be reduced by 50 by 2030 based on the businessasusual BAU scenario Under such,25,25,,,,
scenario the power generation structure in 2025 will be 20 for renewable energy 30 for coals and 50 for gases After the,24,24,,,,
above scenarios are implemented the impact on FPC is analyzed with respect to the aspects of market technology reputation,18,10,diff,,,
As for the physical risk we refer to the Taiwan Climate Change Projection Information and Adaptation Knowledge Platform TCCIP,13,9,diff,,,
and the National Science and Technology Center for Disaster Reduction to estimate sea level rise of 20202040 areas below the,5,19,diff,,,
tide line flood levels below the 2050 level temperature rise maximum continuous rainfall days and total rainfall for the scenarios,13,26,diff,empty,,
IEA WEO 450 Scenario Intended Nationally Determined Contributions Report,12,26,diff,empty,,
TCCIP National Science Technology Center for Disaster Reduction RCP 26 RCP 45 RCP 85,5,19,diff,,,
2030 greenhouse gas emission is estimated to be reduced by 50 according to the current development trend,25,25,,,,
Estimated condition of the temperature rise and rainfall for 20202040,13,26,diff,empty,,
The extreme climate risk assessment is mainly conducted using RCP 85 scenarios with some of the RCP 26 and RCP 45 scenarios,13,10,diff,,,
Area below the 2050 flood line RCP 85,13,26,diff,empty,,
Maximum number of days of continuous rainfall RCP 4585,24,26,diff,empty,,
Note 1 RCP refers to the Representative Concentration Pathways RCP For example RCP26 scenario refers to that the radiative forcing per square meter is increased by 26W,24,26,diff,empty,,
Note 2 Rainfall variability refers to the percentage obtained by dividing the difference between the annual rainfall of a certain area and the longterm average annual,13,26,diff,empty,,
rainfall of that area by the longterm average annual rainfall of that area,13,26,diff,empty,,
41 Carbon Reduction Absolute Targets and Emission Indicators,21,25,diff,,,
FPC s greenhouse gas emission inspected annually has been disclosed in the environmental aspect chapter of the Sustainability Report which is also verified by a third,25,25,,,,
party authentication such as SGS Taiwan and British Standards Institution BSI in order to,12,1,diff,,,
ensure the accuracy of the greenhouse gas emission The greenhouse gas emission for,25,25,,,,
Sustainable Development Website Greenhouse Gas and Energy Management,25,25,,,,
FPC has declared to enroll in the Science Based Target initiative SBTi and cooperates with the policy to adopt the progressive,2,12,diff,,,
approach for carbon reduction The greenhouse gas emission 8635 million tons in 2020 is used as the base year in order to,25,25,,,,
establish the shortterm mediumterm and longterm absolute targets for greenhouse gas emission Accordingly the greenhouse,25,25,,,,
gas emission in 2025 shortterm is set to be 20 less than the emission of base year reduced to 6908 million tons the,25,25,,,,
greenhouse gas emission in 2030 mediumterm is set to be 40 less than the emission of base year and carbon neutrality is set,25,25,,,,
14GovernanceMetrics and TargetsAppendix32Management of Climate Change Risks and OpportunitiesStrategyClimaterelated Financial Disclosure Report,13,12,diff,,,
FPC conducts an annual inventory of the relevance and emission data of Scope 3 and such data has been verified by a third,21,22,diff,,,
party authentication unit No plan and target related to Scope 3 were set in 2020,12,1,diff,,,
Land house and building machine and equipment transportation equipment electrical electronic and computer equipment boilers utility equipment general office equipment and miscellaneous equipment are included in the calculation,24,17,diff,,,
Include all fuel and energy activities such as coal pyrolysis low sulfur fuel oil and natural gas,24,21,diff,,,
100 of the emissions generated by the disposal of industrial wastes,19,19,,,,
Emissions from employees commuting to and from work with transportation vehicles,21,21,,,,
Relevance of business on upstream leased assets is relatively low,4,26,diff,empty,,
All products 81 are transported and sold to the doors of key customers,15,26,diff,empty,,
The calculated processing methods refer to injection extrusion aggregation film blowing products For the rest of products numerous processes are performed such that presently they cannot be analyzed,15,26,diff,empty,,
For the plastic raw materials manufactured by FPC the products need to be processed after being sold and no greenhouse gas emission is generated from the use of the products sold,25,25,,,,
Calculate the carbon emissions from the endoflife treatment of cartons and plastic packaging materials used in sold products,15,21,diff,,,
Relevance of business on downstream leased asset is relatively low,4,26,diff,empty,,
The relevance for investment in business capable of generating additional greenhouse gas emission is relatively low,25,25,,,,
In addition to the establishment of the carbon reduction target FPC has also established the energy saving target for reducing 5,24,24,,,,
of the unit energy consumption and continuously increasing the energy use efficiency In 2021 the energy conservation for steam,24,24,,,,
was increased by 6 from 2020 and the electricity saving was increased by 29 The implementation status of energysaving,24,26,diff,empty,,
for steam electricity and fuel related to greenhouse gas emissions in 2021 is summarized as follows,25,25,,,,
FPCs Energy Conservation Performance Execution Status in 2021,24,24,,,,
Source of Data FPCs safety and health environmental management computer database this database is used as the basis for the calculation Note 1 fuel is under Scope 1 externally purchased electricity and steam are under Scope 2 The type of greenhouse gas emission reduced includes carbon dioxide,25,9,diff,,,
Note 2 1 ton of steam 3008 MJ 1kWh of electricity 36 MJ,24,26,diff,empty,,
FPCs other energy conservation and carbon reduction targets are as follows,24,24,,,,
Sustainable Development Website Water Resource Use and Management,20,4,diff,,,
In addition to the methods of process improvement equipment performance enhancement operating criteria optimization,15,8,diff,,,
waste recycle and reuse in order to increase the water consumption efficiency FPC also promotes the rainwater recycle and,19,20,diff,,,
reuse Accordingly the product unit water consumption is expected to be 5 less than the average value of previous year,20,20,,,,
2 Complete main product carbon footprint inspection in 2022,15,24,diff,,,
To enhance the carbon management in addition to the establishment of the carbon emission target FPC has obtained,25,21,diff,,,
product life cycle assessment and verification certificates including carbon footprint inspection issued by a third party since,15,24,diff,,,
2019 and FPC has also declared that the main product carbon footprint inspection is to be completed in 2022,15,24,diff,,,
3 Electricity for the administrative area of the complex will completely use renewable energy in 2025,24,24,,,,
FPC plans to gradually increase the renewable energy use ratio via the methods of selfinstallation of renewable energy power,24,24,,,,
generation facilities and purchase of green electricity The target for the renewable energy is to completely use renewable,24,24,,,,
energy for the electricity consumption of the administrative area of the complex in 2025,24,24,,,,
4 Complete the greenhouse gas inspection verification for all levels of subsidiaries listed in the consolidated,25,25,,,,
All levels of subsidiaries listed in the consolidated financial statements of FPC have implemented the greenhouse gas emission,25,25,,,,
inspection work The third party verification work is expected to complete in 2025 and relevant information will be disclosed in,12,26,diff,empty,,
5 Invest in plastic recycle and reuse develop and sell products containing recycled plastic pellets,15,19,diff,,,
1 Develop HDPE containing recycled plastic pellets which can be sold to manufacturers of cleaning agent bottles and,19,26,diff,empty,,
containers The sales ratio will be increased from 0 in 2021 to 50 in 2025,24,26,diff,empty,,
2 Develop PP containing recycled plastic pellets which can be sold to manufacturers of woven bags The sales ratio will be,15,26,diff,empty,,
increased from 0 in 2021 to 20 in 2025,12,26,diff,empty,,
14GovernanceMetrics and TargetsAppendix32Management of Climate Change Risks and OpportunitiesStrategyClimaterelated Financial Disclosure Report,13,12,diff,,,
