paragraph,predict_label,count,different,empty,diff rate,empty rate
Forbes named us to its Americas Best Employers for Diversity 2021 list Companies were selected based on an independent survey of more than 50000 US employees,8,6,diff,,,
marking survey and report measuring corporate policies and,12,26,diff,empty,,
practices related to LGBTQ workplace equality This was the ninth,8,8,,,,
Employee honors The Society of Women Engineers SWE honored,8,8,,,,
the advancement of women in the engineering profes,8,26,diff,empty,,
Supporting Women in Engineering ERG in 2006 and has,8,26,diff,empty,,
been a longtime student mentor through SWE FIRST,2,26,diff,empty,,
Diversity Equity and Inclusion project manager as a,8,7,diff,,,
2021 STEP Ahead Award honoree and Jai Aja enterprise,12,26,diff,empty,,
Leader Shari was honored for her work to help build a,2,26,diff,empty,,
diverse talent pipeline and her many volunteer efforts,8,8,,,,
Often theres an affinity bias to sponsorship with relation,4,26,diff,empty,,
ships formed across sameness someone like us But with,4,26,diff,empty,,
inclusive culture by ensuring leaders are not advocating,8,8,,,,
only for people like them Leaders leverage their entire,4,26,diff,empty,,
talent pool women and people of color included which also,8,8,,,,
We supported our leaders success as sponsors with,12,26,diff,empty,,
Throughout Rockwell we invested in enhancing our ability,2,26,diff,empty,,
to lead diverse teams and build equity into the employee,8,8,,,,
experience so everyone has an opportunity to grow,8,26,diff,empty,,
develop and thrive Equity is providing the support each person needs and that varies depending on an individuals,2,6,diff,,,
We launched Managing Across Difference training for our 2969 global people managers The training is designed,8,8,,,,
strategies and tools for building trust psychological safety,9,6,diff,,,
coleads Rockwells Women in the Field ERG and serves,8,26,diff,empty,,
as chair of her local Women in Manufacturing chapter,8,15,diff,,,
and inclusion all of which are critical to fostering a greater,8,7,diff,,,
sense of belonging We piloted the training first with a,8,8,,,,
select group of managers of early career talent followed by,8,8,,,,
300 employees at the director level and above Ultimately,7,7,,,,
well roll out a version of the Managing Across Difference,4,26,diff,empty,,
To further develop our diverse talent we sent more than,8,8,,,,
100 employees to leadership training programs hosted by,8,8,,,,
the Executive Leadership Council ELC and the Hispanic,8,8,,,,
ELCs mission is to increase the number of successful,2,26,diff,empty,,
Black executives in the US and internationally while the,8,26,diff,empty,,
HACRs mission is to advance the inclusion of Hispanics in,8,7,diff,,,
Using language to fight bias foster belonging Language can help us build relationships and forge connections But it can also create barriers that impact someones,8,8,,,,
sense of belonging Our biases can show up in the words we use especially those related to race ethnicity culture,8,8,,,,
gender religion or perspective Even in science and technology some general language and technical terms that have been,8,26,diff,empty,,
As part of our DEI commitment we launched our,8,26,diff,empty,,
Adopting Inclusive Terminology initiative Our goal is to,8,26,diff,empty,,
whitelist black hat hacker and white hat hacker,1,26,diff,empty,,
avoiding offensive and biased language in our products,0,26,diff,empty,,
and content The initiative is led by a crossfunctional,12,26,diff,empty,,
products with millions of words to describe them,15,26,diff,empty,,
Were also working with industry peers and standards,12,11,diff,,,
organizations to identify and replace such terms and,12,26,diff,empty,,
Our criteria for change includes terms that are profane,12,26,diff,empty,,
or derogatory contain unconscious bias in relation to,4,26,diff,empty,,
Adopting Inclusive Terminology is about far more than,8,26,diff,empty,,
replacing words Its about being thoughtful and inten,23,26,diff,empty,,
tional ensuring that we use language in a mindfully,8,26,diff,empty,,
status or political views or evoke violent metaphors,4,26,diff,empty,,
We developed and expanded our relationships with key,3,26,diff,empty,,
As a leader in our industry we remained out front as a,3,26,diff,empty,,
partners including AfroTech the Society of Asian Scientists,8,26,diff,empty,,
voice and advocate for driving DEI We led another series,2,26,diff,empty,,
and Engineers and the Society of Hispanic Professional,8,26,diff,empty,,
of Bold Conversations at our annual Automation Fair,4,26,diff,empty,,
Engineers We hosted recruiting booths at each of their,4,26,diff,empty,,
event held inperson and virtually in 2021 We held five,12,26,diff,empty,,
national conferences to connect with the thousands of,12,26,diff,empty,,
discussions including How to be an Ally in a Time of Crisis,18,26,diff,empty,,
technical professionals and students that attended Overall we extended more than 47 job offers onsite at,8,26,diff,empty,,
Creating a Psychologically Safe Workplace the Impact on Attracting and Retaining Talent and Inclusion in a Hybrid,8,8,,,,
Work Environment We also hosted two ondemand DEI,10,26,diff,empty,,
At the higher education level we held our inaugural HBCU,2,26,diff,empty,,
Later in this report well share how were partnering with,4,4,,,,
Day HCBUs are a staple in the Black community with a,10,10,,,,
industry peers academia and nonprofits to prepare the,12,26,diff,empty,,
rich history Today there are more than 100 HBCUs that,12,26,diff,empty,,
diverse workforce of tomorrow and increase access to,8,11,diff,,,
enroll 228000 students We held a virtual event with a,2,26,diff,empty,,
welcome from our Senior Vice President and Chief Supply,17,26,diff,empty,,
Chain Officer Ernest Nicolas and an overview of our DEI,7,26,diff,empty,,
commitment from Bobby Griffin Our hiring managers and,8,26,diff,empty,,
We start with our Code of Conduct which details the,0,26,diff,empty,,
rules we follow and provides a framework for all our,12,26,diff,empty,,
decisions and behaviors Updated in 2020 our refreshed,12,26,diff,empty,,
Code of Conduct reinforces our commitments to integrity,0,0,,,,
Our rigorous commitment to ethics and integrity is firmly ingrained in our culture and guides our every action,0,0,,,,
each other customers and partners the company and the communities where Rockwell employees live and work,10,26,diff,empty,,
In 2021 we provided a comprehensive introduction to our new Code in our Annual Ethics Training which 100 of our Board of Directors employees and contractors completed,0,6,diff,,,
Typically each years training focuses on several topics,2,8,diff,,,
within the Code but for 2021 we reviewed each of the Codes,12,26,diff,empty,,
Also last year we significantly expanded the reach and,12,26,diff,empty,,
content of our workplace harassment training For the first,8,8,,,,
time in 2021 we required each of our 2969 global people,10,26,diff,empty,,
of our Board of Directors employees and contractors completed Annual Ethics Training,0,6,diff,,,
managers to complete the scenariobased training that now,8,8,,,,
includes all forms of harassment and can be customized to,8,26,diff,empty,,
Ethics and integrity are among our highest scoring drivers,0,0,,,,
of employee engagement nurtured and cultivated through a,8,8,,,,
strong speak up mindset A hallmark of that mindset is our,0,26,diff,empty,,
independent Ombuds program that reports directly to the,12,26,diff,empty,,
Since 1985 our Ombuds has become a trusted resource,0,26,diff,empty,,
for colleagues and others to seek advice share concerns,12,4,diff,,,
and report allegations of wrongdoing and possible Code of,0,26,diff,empty,,
Conduct violations We were one of the first US companies,0,26,diff,empty,,
to form an Ombuds office which now includes regional,12,26,diff,empty,,
Ombuds in Latin America the Europe Middle East and,12,26,diff,empty,,
During 2021 the Ombuds received 490 contacts consistent,12,26,diff,empty,,
with the annual range of between 400 and 500 contacts for,12,26,diff,empty,,
the past five years At 34 our anonymous contact rate is significantly lower than the global benchmark of 58,0,26,diff,empty,,
reflecting a high degree of trust from our employees As,0,26,diff,empty,,
typical of other global companies North America represents,18,26,diff,empty,,
the highest percentage of Ombuds contacts However our,0,26,diff,empty,,
contacts from outside of North America grew to 42 last,3,26,diff,empty,,
The office of the Ombuds performed more than 100 investi,12,26,diff,empty,,
gations and substantiated nearly 60 of them a rate signifi,12,26,diff,empty,,
cantly higher than the global benchmark This indicates,18,26,diff,empty,,
and the company has a strong investigation process,0,26,diff,empty,,
A Worlds Most Ethical Company Ethisphere a global leader in defining and advancing,0,26,diff,empty,,
us as one of the Worlds Most Ethical Companies for,0,26,diff,empty,,
the 13th time in 2021 The highly soughtafter honor,12,26,diff,empty,,
ties they serve said Ethisphere CEO Timothy Erblich,0,26,diff,empty,,
lead on earning the trust of stakeholders through,10,26,diff,empty,,
resilience and a commitment to ethics and integrity,0,0,,,,
Annually we honor colleagues whose courageous actions and choices demonstrate our ethical values Our annual Global Integrity Champions have spanned all business units organizational levels and regions with each,0,0,,,,
making the right decision when faced with a difficult ethical choice,0,26,diff,empty,,
For our 2021 champion Stefano Pini that decision came after someone,4,26,diff,empty,,
tried to bribe him for passwords to a customers network Stefano is an,0,26,diff,empty,,
Italybased software solutions sales engineer who works for ASEM a,15,26,diff,empty,,
Rockwell company As directed in Rockwell and ASEMs antibribery and,15,26,diff,empty,,
corruption policies Stefano immediately refused and reported the matter,0,0,,,,
to his manager Our Ombuds office notified the Italian criminal authorities,12,26,diff,empty,,
and informed the customer someone was attempting to breach their,1,22,diff,,,
We also recognized two employees as Honorable Mentions Canninah Mapena,7,26,diff,empty,,
country sales director South Africa faced multiple ethics and compliance,0,12,diff,,,
challenges including the discovery of a major theft ring Canninah bravely,0,26,diff,empty,,
reported the issue and worked closely with our security team and police to,1,22,diff,,,
crack the ring even when her personal safety appeared at risk Shes also,9,6,diff,,,
fostered a speak up mindset and has organized town hall sessions engaging,10,26,diff,empty,,
our hundreds of South African employees for candid discussions with her our,0,26,diff,empty,,
Marcelo Tarkieltaub regional director Southeast Asia hired someone he,3,7,diff,,,
knew and recommended to Rockwell But when he suspected his new hire,8,26,diff,empty,,
of behavior that violated our Code of Conduct he reported the behavior and,0,26,diff,empty,,
stepped aside to ensure our Ombuds office could conduct a fair and impartial,12,26,diff,empty,,
investigation When those violations were confirmed and substantiated,0,26,diff,empty,,
Marcelo supported the separation of his recent hire,8,26,diff,empty,,
Stefano Canninah and Marcelo all reflect why we have earned a valued,0,26,diff,empty,,
reputation for integrity We work hard to meet business goals but never at,0,0,,,,
We focus our environmental stewardship on reducing energy waste and water use,19,19,,,,
As part of our 2030 carbon neutral goal Scopes 1 and 2,24,21,diff,,,
projects that we estimate will eliminate more than 4500 metric tons of CO2 annually Thats equivalent to taking more than 1000 cars off the road and saving enough energy to,24,24,,,,
program in Europe with Tauron Polska Energia that will,12,26,diff,empty,,
provide green energy with zero emissions to our Katowice,24,21,diff,,,
upgraded to LED lighting on its production floor,24,26,diff,empty,,
Green roof helps city manage stormwater overflows Rain gardens and barrels undeveloped riverfront land and,20,20,,,,
buildinghelped the city of Milwaukee prevent millions of gallons,24,26,diff,empty,,
of untreated water from flowing into the regions waterways,20,20,,,,
after several days of heavy summer rains Planted in 2010 our,13,26,diff,empty,,
49000 squarefoot green roof features a dozen varieties of,15,26,diff,empty,,
sedum and native perennials The plants help to slow and absorb,23,26,diff,empty,,
stormwater from heavy rains that can otherwise contribute to,13,20,diff,,,
sewer overflows and threaten to overwhelm the system During,20,26,diff,empty,,
the past 11 years our green roof has absorbed over 11 million,2,26,diff,empty,,
gallons of water Thats a savings equal to the annual water use,20,20,,,,
At our Milton Keynes location in the United Kingdom we,4,26,diff,empty,,
installed a heat reflective film and perimeter around two,24,26,diff,empty,,
of our facilitys buildings to eliminate the greenhouse,25,25,,,,
warming effect during the summer and improve efficiency,25,20,diff,,,
of the facilitys cooling and heating systems At our nearby,24,26,diff,empty,,
warehouse heaters and boilers and installed heat screens,24,26,diff,empty,,
In Sahibabad India and Milwaukee Wisconsin we removed,12,26,diff,empty,,
completed lighting upgrades in Milwaukee as well as at our,24,26,diff,empty,,
underway for an estimated further reduction of 2100 metric tons of CO2 annually including seeking LEED Gold Commercial Interiors certification for our new China,12,19,diff,,,
Normalized Emissions Trend Scopes 1 and 2 emissions as metric tons of CO2 equivalent per million USD of sales,25,21,diff,,,
headquarters office in Shanghai LEED which stands for,12,26,diff,empty,,
Leadership in Energy and Environmental Design is the,15,8,diff,,,
Emissions Summary 109700 total metric tons of CO2 equivalent,25,21,diff,,,
n 17 Scope 1 direct n 83 Scope 2 indirect,12,26,diff,empty,,
most widely used green building rating system in the world,24,26,diff,empty,,
In Harbin China we are replacing an outside wall with a,24,26,diff,empty,,
thicker and lower heat transfer coefficient wall Lastly,24,26,diff,empty,,
we have additional lighting HVAC and other equipment,24,26,diff,empty,,
upgrades in process in our Katowice Poland and Mayfield,3,26,diff,empty,,
Looking ahead we have a dozen projects in our approval,3,26,diff,empty,,
pipeline including pursuing steam recovery as a heat source,24,5,diff,,,
We also engaged an outside consultant to facilitate a multi,12,26,diff,empty,,
year project to classify our Scope 3 emissions and impacts,25,21,diff,,,
Scope 3 emissions also referred to as value chain emissions,25,21,diff,,,
fall within 15 categories both upstream and downstream of,20,26,diff,empty,,
an organizations activities Because not every category is relevant to every organization this project will define the,12,26,diff,empty,,
categories material to Rockwell As part of this work we will,23,26,diff,empty,,
also assess the carbon footprint and impacts for two of our,13,24,diff,,,
86 solid waste deferral rate exceeds annual 85 goal,19,19,,,,
Hazardous waste accounted for only 4 of total waste generated,19,19,,,,
Technology eliminates hundreds of thousands of pounds of paper waste Using our own advanced automation,19,19,,,,
solutions Previously a job packet for a single,15,26,diff,empty,,
project required up to 26 pounds of paper,19,26,diff,empty,,
amount of toner and energy used for printing,24,24,,,,
Overall we estimate this effort has reduced our carbon footprint by 197 tons of CO2,25,24,diff,,,
Solarpowered lighting and fans for 550 lowincome India families In partnership with Habitat for Humanity India we,24,23,diff,,,
lowincome homes with no electricity in Uttar Pradesh,24,26,diff,empty,,
Most of our emissions are indirect Scope 2 emissions gener,25,21,diff,,,
ated by utilities from the electricity we use to light heat and cool our buildings While we had a slight increase in our CO2e emissions in 2021 we continued to reduce our energy intensity,24,21,diff,,,
when emissions were normalized to sales with energy conser,24,21,diff,,,
vation efforts helping to minimize the environmental impact of,23,9,diff,,,
We measure and report energy use and carbon emissions at,24,21,diff,,,
our largest locations including core manufacturing and office,15,15,,,,
facilities We calculate the balance of carbon footprint using,13,24,diff,,,
emission factors based on location and occupied office space,21,26,diff,empty,,
two LED lights and a fan Besides providing a much,24,26,diff,empty,,
Energy is a minor percentage of the total operational costs at,24,24,,,,
lighting also provides children with more hours to,2,26,diff,empty,,
Wisconsin and Canada honors For the eighth consecutive,12,26,diff,empty,,
In Canada our Cambridge plant won a silver medal,4,26,diff,empty,,
as part of a twoyear energy management challenge,24,11,diff,,,
As one of the challenges 24 participants we were,2,26,diff,empty,,
We focus the remainder of our environmental stewardship,23,7,diff,,,
efforts on waste and water consumption In 2021 we exceeded,20,19,diff,,,
our annual goal to recycle or reclaim 85 of solid waste gen,19,19,,,,
er ated Our water use rose slightly just missing our annual,20,20,,,,
zero increase goal We use water mostly to drink for sanitary,20,20,,,,
purposes and to cool and clean during manufacturing,15,15,,,,
As previously noted on page 22 we have 20 manufacturing,15,15,,,,
locations certified to certified to ISO 14001 and ISO 45001,15,26,diff,empty,,
ultrasonic leak detection and using energy data to,1,22,diff,,,
Water use slightly over annual zero increase goal,20,20,,,,
Our accelerated efforts to reduce environmental impacts and drive sustainable change extends to our global supply chain,17,9,diff,,,
We are fortunate to partner with diverse suppliers,17,26,diff,empty,,
sustainability for the mutual benefit of our joint relation,12,0,diff,,,
ships customers communities and the world around us,10,26,diff,empty,,
Together we continue our efforts to create a more respon,4,26,diff,empty,,
sible supply chain aligned with the needs of our customers,17,26,diff,empty,,
we did at the corporate level with our 2020 materiality,12,26,diff,empty,,
assessment weve turned to outside experts to help us,12,10,diff,,,
assess opportunities to improve the sustainability of our,3,0,diff,,,
supply chain and increase the level of engagement within,17,7,diff,,,
AfricanAmericanowned investment banking firm coleads Rockwell Automation bond offering,12,26,diff,empty,,
We selected Loop Capital Markets a nationally recognized,4,25,diff,,,
Blackowned investment banking firm as a joint active,4,26,diff,empty,,
forward for its corporate peers in the industrial and technology,3,26,diff,empty,,
bookrunner on a 15 billion bond offering that funded a portion,4,26,diff,empty,,
ment toward diversity equity and inclusion as a company,8,7,diff,,,
Weve worked with Loop Capital Markets in the past noted,4,25,diff,,,
Rockwells Isaac Woods vice president and Treasurer Were,7,26,diff,empty,,
pleased to have the opportunity to elevate such a highquality,0,26,diff,empty,,
firm to a lead position in this transaction,4,26,diff,empty,,
underwriter Rockwell Automation is sending a powerful message,1,26,diff,empty,,
of support for equity on Wall Street and is providing a path,18,6,diff,,,
BofA Securities Goldman Sachs Co LLC and Wells Fargo,4,26,diff,empty,,
Securities joined Loop Capital Markets as jointlead under,4,25,diff,,,
writers Through longstanding relationships with our group of,8,26,diff,empty,,
strategic partner banks we continue to strengthen our shared,3,26,diff,empty,,
commitment to sustainability and equity while amplifying and,10,6,diff,,,
elevating the stature of diverse firms across the global corporate,8,26,diff,empty,,
To that end we plan to look to the Responsible Business Alliances RBA Code of Conduct as a guideline for future updates to our own Supplier Code of Conduct The RBA is the worlds largest industry coalition dedicated to corporate social responsibility in global supply chains,17,10,diff,,,
Its Code of Conduct is a set of social environmental ethical and management systems,0,9,diff,,,
standards RBA updates the Code every three years to ensure relevance to current issues and expectations facing global supply chains,17,11,diff,,,
Regardless of the global supply challenges facing industry today our responsible supply,17,26,diff,empty,,
chain is at the forefront of our efforts from supplier information campaigns including our,17,26,diff,empty,,
2021 Virtual Supplier Conference to using our own technologies and data to augment decision,17,22,diff,,,
making and provide even greater visibility into our supply chain planning and operations,17,26,diff,empty,,
Weve set out to reimagine the role of our supply chain manufacture in an even more respon,17,26,diff,empty,,
sible and sustainable manner and continue to exceed customer expectations with trusted,15,26,diff,empty,,
At Rockwell philanthropy extends beyond financial investments Its about people action and purposedriven passion to create transformational change,10,26,diff,empty,,
Our philanthropic strategy is built upon our business impera,12,26,diff,empty,,
tive to ensure a skilled workforce now and in the futureone,8,11,diff,,,
that reflects the diversity of our customers and partners regions,8,6,diff,,,
and communities For us it goes beyond the skills gap With,10,26,diff,empty,,
our STEM education partners were diligent in our intent to close,2,26,diff,empty,,
the belief and opportunity gaps that create barriers for girls and,8,26,diff,empty,,
We support organizations and opportunities that foster an,2,26,diff,empty,,
awareness of the systems and barriers that perpetuate the social,10,10,,,,
economic and educational challenges our communities face And,10,26,diff,empty,,
we contribute to the vibrancy of our regions through investment,4,26,diff,empty,,
in programs that address those inequities creating access for the,2,26,diff,empty,,
visitors attended the exhibit and through a free,23,26,diff,empty,,
among those leading this effort We provided a,12,26,diff,empty,,
For Januarys Martin Luther King Jr Day we,10,26,diff,empty,,
signature class Unlearning Racism Tools for Action The YWCA SEW has seen a surge in demand for its offerings which focus on the,12,4,diff,,,
Legacy A Fight for Fair and Equitable Wages,11,11,,,,
Also as part of our tribute to the legacy of Dr,23,26,diff,empty,,
We cosponsored the US debut of Mandela The,10,26,diff,empty,,
King we sponsored a live reading of I am a Boy of,8,26,diff,empty,,
that is designed to help parents to talk to their,2,26,diff,empty,,
celebrated the life of one of the worlds most,9,26,diff,empty,,
Driving equity in our communities starts with our youngest learners,2,6,diff,,,
We support organizations and activities that provide all students with equal access to STEM,2,26,diff,empty,,
opportunities and the belief that they will be our future makers creators and builders,3,26,diff,empty,,
In 2021 we surpassed 30 million in cash and inkind product donations to nonprofit FIRST with a new,12,26,diff,empty,,
27 million grant to support global programming for the 20212022 season FIRST a key Rockwell STEM,12,26,diff,empty,,
education partner since 2006 inspires students ages 4 to 18 to become science and technology leaders,2,26,diff,empty,,
and innovators by engaging them in exciting handson mentorbased programs,8,26,diff,empty,,
are twice as likely to show an increase in,18,26,diff,empty,,
are more likely to major in STEM fields,8,26,diff,empty,,
Our goal is to not only introduce students,8,26,diff,empty,,
to declare a major and take courses in,2,26,diff,empty,,
but also to create and equip the spaces,15,26,diff,empty,,
that foster their innovation and creativity and nurture their problemsolving and,15,3,diff,,,
for young women in STEM and their allies,2,26,diff,empty,,
as a judge at the worlds largest FIRST,4,26,diff,empty,,
foot playing field area funded with a 350000,2,26,diff,empty,,
more than 300 area students with access to new,2,26,diff,empty,,
We also funded a 100000 grant to the Milwaukee,12,26,diff,empty,,
Robotics Academy MRA as part of our FIRST,8,26,diff,empty,,
education to underserved populations including facilities for high school students and teams to,2,26,diff,empty,,
We joined the Great Lakes Science Center to host hundreds of Clevelandarea students for,2,26,diff,empty,,
Manufacturing Day MFG Day A National Association of Manufacturers and Manufacturers,15,15,,,,
Institute initiative MFG Day is an annual series of events to inspire the next generation by show,2,24,diff,,,
casing modern manufacturing careers Volunteers from Rockwell and five other local companies,8,15,diff,,,
assisted students with interactive advanced manufacturing and technology experiences including,15,15,,,,
augmented reality LEGO robot coding and virtual welding,15,26,diff,empty,,
Two Rockwell employees serve on MRAs advisory board,7,7,,,,
When the fiveday period ended we exceeded our goal with,4,26,diff,empty,,
including FIRST alum Javion Mosley who also mentors his,8,26,diff,empty,,
1175 families logging more than 109000 minutes of play of,2,26,diff,empty,,
former FIRST Robotics team which started MRA Nearly,4,26,diff,empty,,
which nearly 80 was in Spanish For those without home,2,26,diff,empty,,
threequarters of MRA alums work in STEM fields including,8,26,diff,empty,,
technology we bridged the digital divide by providing books,4,26,diff,empty,,
and games Additionally we partnered with the United Way,12,26,diff,empty,,
to supplement the learning opportunity with winter break,8,26,diff,empty,,
To support and engage students and families at home,2,26,diff,empty,,
meal kits for 300 families facing food insecurity,2,26,diff,empty,,
we launched Milwaukee Math Week in partnership with,2,10,diff,,,
and families to enjoy 100000 minutes of free online math,2,26,diff,empty,,
Our employees broaden the reach of our philanthropic investment and impact with their time talent and personal resources,8,8,,,,
To make it easier for employees to learn about and participate in local,8,26,diff,empty,,
volunteer opportunities and to enhance their personal giving with company,8,26,diff,empty,,
Recently launched in a dozen countries in Asia Pacific and North America,12,26,diff,empty,,
employees can access this new volunteer program and platform from their,8,26,diff,empty,,
smartphones or computers Once they find opportunities they can track their,1,26,diff,empty,,
volunteer time earn 10 per hour Reward Dollars and direct their rewards,11,26,diff,empty,,
balance to support nonprofits of their choice Further ROK in Action makes,2,26,diff,empty,,
it possible for employees to volunteer during work hours with up to 24 hours,11,26,diff,empty,,
volunteer paid time off annually We plan to roll out ROK in Action to additional,11,26,diff,empty,,
Additionally in 2021 we honored the four winners of our annual Volunteer Recognition Program with a 5000 contribution to their charity of choice The awards celebrate the value of volunteerism and create awareness for the,9,8,diff,,,
organizations and missions our employees are passionate about serving,10,26,diff,empty,,
Healthy communities Regardless of race gender or economic status the pandemic impacted us,8,26,diff,empty,,
all in ways none of us could have predicted Since it first became available,6,26,diff,empty,,
weve continuously encouraged everyone to get a COVID19 vaccine To,2,26,diff,empty,,
assist with reaching the most vulnerable in our headquarters community we,2,10,diff,,,
donated 50000 to HealthyMKE The comprehensive multimedia and grass,12,26,diff,empty,,
roots information campaign was created by a broad coalition of local govern,12,26,diff,empty,,
ment nonprofit health care public health and community organizations,2,6,diff,,,
HealthyMKE targets the moveable middle uncertain individuals who may,4,26,diff,empty,,
be open to the vaccine With educational resources and tools the campaign,2,26,diff,empty,,
is designed to help empower people to make informed choices about,15,26,diff,empty,,
Humanitarian relief Whether from natural disaster a humanitarian crisis or circumstance the,5,26,diff,empty,,
need for relief in communities around the world persisted this past year,10,26,diff,empty,,
We donated 85000 to the Red Cross to support several critical disaster and,5,26,diff,empty,,
humanitarian relief efforts Our contributions supported the nonprofits work and,5,26,diff,empty,,
volunteers in Haiti following a massive earthquake and in the US after Hurricane,5,26,diff,empty,,
Ida moved from the Gulf Coast to the Northeast Our donations also supported,13,26,diff,empty,,
relief efforts in the immediate aftermath of two dozen tornadoes that struck the,5,26,diff,empty,,
Midwest and southern states Additionally we supported the Red Crosss humani,12,26,diff,empty,,
tarian relief efforts for military veterans and evacuees following military unrest in Afghanistan,9,26,diff,empty,,
Meanwhile housing insecurity as a way of life remains a challenge in our local,18,26,diff,empty,,
communities Dozens of our Wisconsin employees volunteered to assemble more,11,26,diff,empty,,
than 500 laundry and linen kits in the spring Wisconsin and Ohio employees,19,26,diff,empty,,
Many of us may not have realized until these projects how prevalent homeless,5,26,diff,empty,,
ness and housing issues are in the communities where we live and work said,10,26,diff,empty,,
Greg Gernert vice president and general manager Motion Controls and United Way,18,26,diff,empty,,
executive cosponsor This is just one way where we can come together to help,12,26,diff,empty,,
make a difference for so many local families in need,10,26,diff,empty,,
Preparing business and the workforce for the jobs of the future is a task that no one company university or government agency can do alone,8,11,diff,,,
Thats why we partner with industry peers and educational institutions,2,26,diff,empty,,
worldwide to invest in academic innovation training and curriculum,2,3,diff,,,
designed to accelerate the adoption of new technologies and skill sets,8,26,diff,empty,,
With realworld applications and advancedtechnology labs in high schools,2,26,diff,empty,,
technical colleges and universities our Global Academic Organization,2,26,diff,empty,,
focuses on developing the diverse and futureready workforce of,8,11,diff,,,
tomorrow Annually we reach more than 30000 students preparing,2,26,diff,empty,,
As part of Ohios high school Graduation Pathways we partnered with,2,26,diff,empty,,
FANUC America to combine the previously separate Automation and,4,26,diff,empty,,
Robotics Pathways into a single integrated program Pathways provide students with,2,26,diff,empty,,
To train educators in the newly integrated approach,2,26,diff,empty,,
funded with an Ohio Department of Labor grant,11,11,,,,
learning and visits to see Rockwell technology in,2,26,diff,empty,,
action at the Great Lakes Brewing Company and a,6,26,diff,empty,,
The training also included sessions on diversity and,8,8,,,,
and urban and rural locations for success We held,10,26,diff,empty,,
the training at the Garrett Morgan School GMS of,12,8,diff,,,
schools that serve mostly Black students and house,8,26,diff,empty,,
of our Mach3 effort to reach and enroll more diverse,8,26,diff,empty,,
partner with FANUC and LCCC in summer 2022 to,12,26,diff,empty,,
Industry coalition develops apprenticeships We joined with FANUC America to form an,2,26,diff,empty,,
Magna Tyson Foods and the Advanced Robotics for,6,26,diff,empty,,
At Cleveland State University where our partnership goes back to the late 1990s we celebrated the grand opening of the Rockwell Automation Connected Enterprise Laboratory Touted as fully Industry 40 connecting manufacturing automation and the,15,10,diff,,,
Industrial Internet of Things IIoT the lab is the Washkewicz College,15,26,diff,empty,,
of Engineerings latest initiative to fulfill its mission to produce,12,26,diff,empty,,
ment provides students with access and instruction on the same,2,26,diff,empty,,
types of advanced manufacturing equipment used across industry,15,15,,,,
today and includes 14 workstations accommodating 28 students,2,26,diff,empty,,
Beijing Jiaotong University students win annual China Industrial Intelligence Challenge Classmates Li Junying and Zhang Zhe from Beijing,4,26,diff,empty,,
Together with Chinas Ministry of Education we are a,12,26,diff,empty,,
that encourages students to research explore and use,2,4,diff,,,
were among the award winners at the annual China,12,26,diff,empty,,
We also opened the Rockwell Automation Lab at Can Tho University in Vietnam The countrys most modern and wellequipped automation laboratory,24,26,diff,empty,,
It features 20 basic and 19 advanced workstations,15,26,diff,empty,,
and one virtual model to emulate factory automa,4,26,diff,empty,,
In Wisconsin members of the Board of Regents,12,7,diff,,,
and chancellors from other UW System universi ties toured the University of WisconsinMilwaukee Connected Systems Institute CSI We are a founding member of the CSI pictured right,12,26,diff,empty,,
which includes a mini factory of the future used for learning and collaborative research and to,2,4,diff,,,
the CSI is developing new ways to integrate,12,26,diff,empty,,
gence robotics and data from the IIoT into next,4,22,diff,,,
Fully and securely connected end to end in 2021,1,26,diff,empty,,
the CSI to launch a new Digital Manufacturing,15,15,,,,
Certification in the spring and with our other,2,26,diff,empty,,
our global network of more than 150 automation,15,26,diff,empty,,
to work on the physical system itself Together,15,9,diff,,,
Even before the pandemic the lack of skilled labor was a major challenge for the manufacturing sector,11,11,,,,
supply chain issues A 2021 study found the,17,26,diff,empty,,
To serve our veterans and help close that gap we developed the Academy of Advanced Manufacturing AAM program jointly with ManpowerGroup AAM serves as a bridge from,8,15,diff,,,
US manufacturing skills gap could result in 21,8,15,diff,,,
Honors for our efforts to promote veteran employment,8,11,diff,,,
Business Journal honored us as part of its 2021,3,26,diff,empty,,
Since the programs 2017 inception AAM has upskilled and,12,26,diff,empty,,
most of those grads in high demand manufacturing roles,17,4,diff,,,
75000 AAM grads represent all branches of the military and 41 are people of color,8,26,diff,empty,,
More than 80 Rockwell customers have hired AAM grads,12,26,diff,empty,,
and a quarter of those manufacturers are repeat employers interested in multiple hires including The Goodyear Tire Rubber Company The companys four recent hires serve in area manager maintenance specialist and electronic,11,26,diff,empty,,
technician roles at Goodyears Danville Virginia tire plant,15,26,diff,empty,,
a Navy veteran said AAM offers a unique opportunity to tap,9,26,diff,empty,,
into highly trained candidates and builds on those candi,0,26,diff,empty,,
ful in terms of actual outcomes and impact The,12,10,diff,,,
to organizations that have met or exceeded their,12,26,diff,empty,,
standard in recruiting hiring and training of veterans,8,8,,,,
is a celebration of US military veterans and,8,26,diff,empty,,
This program basically gives us ideal candidates for the roles we need to fill,8,26,diff,empty,,
said Brown Theyre coming in ready to work and they already have the leader,3,26,diff,empty,,
AAM combines technical classroom training handson lab experience and,2,8,diff,,,
professional development education at Rockwells facilities in Milwaukee,2,4,diff,,,
