paragraph,predict_label
these challenges we retired our MD1010 fleet,3
feeder routes to replace our aging ATR42 aircraft,21
outline an approach to reduce our Scope 2,12
FedEx Ground has 17 onsite and offsite solar,24
emissions despite the increased electricity,25
installations and energized its first community,10
demand from vehicle charging We are looking,24
solar project in November 2021 At the FedEx,24
across our operating companies to forecast,18
Ground headquarters we installed an almost,12
energy needs and develop a renewable energy,24
fourmegawatt solar carport system that will,24
procurement strategy using power purchase,15
produce about 30 of the power used on the,24
agreements virtual power purchase agreements,4
Pittsburgh campus Additionally FedEx Express,22
and other clean energy instruments,24
installed a onemegawatt community solar,24
system in Washington DC in October 2021,12
We increase the efficiency of our facilities,24
through energy management systems that,24
FedEx Ground has three facilities and FedEx,18
monitor control and optimize our lighting,24
Express has one facility using fuel cell,24
technologies alongside onsite solar or battery,24
equipment FedEx Office utilizes energy,24
storage that provide the foundation for,19
management systems at over 1500 stores and,15
microgrids and support resiliency and emergency,5
we have reduced energy usage through lighting,24
preparedness FedEx Express is also exploring,5
retrofits at FedEx Office FedEx Freight FedEx,24
similar microgrid technologies to replace,24
Express and FedEx Ground FedEx Freight has,19
traditional diesel backup energy generators,24
installed LED lighting in onethird of its locations,24
Additionally FedEx Ground installed a solar,24
and is evaluating a strategy to retrofit all,12
thermal air conditioning system to maintain,24
remaining locations within the next five years,3
cooler temperatures at a sorting facility in Florida,25
We strive to sustainably operate our more than,3
5000 air and ground hubs local stations freight service centers and retail locations through,19
continued investments in efficiency renewable,24
energy and other energy management programs,24
FedEx Office finalized its LED lighting retrofit,24
initiativecovering 71 of storeswith the,15
final locations completed in 2021 Overall our,3
energy management systems and lighting,24
retrofits saved approximately 208 million,24
Our facility energy management strategy is more,24
kilowatt hours of electricity in FY21,24
important than ever as our energy demand,24
Where appropriate we adopt the Leadership in,7
Energy and Environmental Design LEED,15
standard in the US and the Building Research,12
Method BREEAM in Europe to guide efficient,24
facility design FedEx Express and FedEx Freight,19
increases to support electric vehicle deployment,24
We are increasing both onsite renewable,24
seek LEED certification on all new construction,14
We recognize this challenge and our Energy SIT,4
energy generation and our procurement of,24
and in total FedEx has 39 LEEDcertified,12
is developing a longterm strategy and roadmap,3
renewable energy to further reduce carbon,24
facilities and 13 BREEAMcertified facilities,12
in parallel with our electric vehicle transition plan,3
emissions In FY21 we generated on and,25
In alignment with our goal of attaining carbon,25
offsite solar energy at a total of 26 global,24
neutral operations by 2040 this roadmap will,12
locations across our operating companies,3
In addition we aim to minimize our operational,18
waste footprint FedEx recognizes that the,19
longterm health of our business is directly,3
connected to the health of the planet and local,10
communities Each operating company has robust,10
programs and policies in place to help mitigate,12
adverse impacts on the local environment from,23
facility operations and ensure compliance with,12
applicable laws and regulations To further drive,12
our environmental sustainability progress our,3
CSO manages our enterprisewide Environmental,3
Management System and reviews performance,18
on an annual basis We strive to enhance our,12
environmental performance and FedEx Express,3
facilities in 43 countries have achieved the ISO,14
In addition we aim to minimize our operational,18
waste footprint In 2020 the FedEx Sourcing,19
team began implementing a new enterprisewide,3
waste and recycling managedservice strategy for,19
our US operations to standardize our processes,12
and reduce the amount of waste we send to,19
landfills To date we have transitioned over 1000,19
US facilities to this new managed service Overall,24
67 of reported solid waste in our global facilities,19
was sent to recyclers in FY21,15
European sustainability strategy in focus,3
FedEx Express Europe is implementing an organized comprehensive,12
sustainability strategy to drive innovative solutions to address sustainability,15
challenges in the European market Our European Union Sustainability,12
Committee formed in 2021 oversees environmental sustainability for the,23
region and is sponsored by the European regional Chief Operating Officer,12
Seven Impact TeamsSustainable Fleet Solutions Zero Emissions City,21
Deliveries Green Facilities Certifications Subcontractor Collaboration,14
Programs Circular Solutions Waste Management Customer Solutions and,19
Multimodal Transportationare responsible for implementing sustainability,13
projects across the network and supporting the UN Sustainable Development,10
Goals A central sustainability team supports coordinates and facilitates these,12
In FY21 FedEx Express Europe developed GreenLab Copenhagen a flagship,12
sustainability concept that aims to reduce carbon emissions and accelerate,25
progress towards our goal of carbon neutral operations by combining multiple sustainability initiatives We are looking to expand the most effective initiatives,12
to other locations across Europe The idea for GreenLab Copenhagen originated,25
from our inaugural Sustainability Challenge which invited team members in,3
Nordic countries to share their ideas to help us reduce the environmental impact,13
FedEx Express Europe also joined the Capital Equipment Coalition in 2021,3
showcasing its commitment to increase circularity by working to reduce the use,15
of raw materials and extending the lifespan of capital equipment The coalition,17
is exploring solutions and ways of defining circularity standards in connection,12
FedEx works with customers to evaluate offering,4
endtoend sustainability for our supply chains,17
through options such as carbon neutral shipping,24
offerings and sustainable packaging solutions We,15
assist customers in optimizing package size and,15
weight to minimize waste increase shipping,19
efficiency and reduce emissions as applicable,24
We help customers ship packages responsibly by,15
offering free packaging options for FedEx Express,15
shipments that are reusable recyclable and made,15
from recycled content All FedExbranded,6
cardboard packaging is 100 recyclable The,15
FedEx Sourcing team evaluates each critical,17
packaging supplier annually on environmental,15
program improvement In addition the third,2
party certified content percentage of our,12
At several FedEx Logistics facilities that serve,17
technology industry customers and FedEx internal,4
operations we receive electronic equipment,1
returns that we work to properly dispose which,19
could include refurbishment or recycling In,15
particular the FedEx Forward Depots division of,17
FedEx Logistics recycled over 464 metric tons of,24
information technology equipment on behalf of,1
FedEx Logistics also offers a longstanding,15
valueadded service connecting customers with,24
material recycling providers in North America This,15
service includes transportation processing and,24
recycling of materials with a 99 landfill diversion,19
rate along with 100 traceability for secure,1
inventory management Through this service,15
offering more than 1000 metric tons of customer,15
packaging materials was 75 during FY21,15
Furthermore FedEx Office sources paper,12
responsibly for commercial copy and print services,15
by adhering to their forestbased paper product,15
procurement policy In FY21 100 of all paper,12
purchased by FedEx Office was from vendors with,4
We use a multidisciplinary governance,4
approach to support our people The FedEx,10
Board of Directors is responsible for reviewing,7
and overseeing our culture and evaluating,8
managements efforts to align our corporate,3
culture with our values and longterm strategy,10
performance objectives such as support of,10
DEI initiatives and safety into executivelevel,9
and Human Resources and Governance Safety,9
and Public Policy Committees both support,12
areas of social governance at the Board level,12
Within each operating company HR,3
oversees plans related to team member,12
career development health and wellness and,9
engagement Our Corporate HR department,8
supports the alignment of all operating team,4
procedures and oversees team member benefits,11
and employee development activities Operating,8
companies also establish their own safety policies,9
and programs relevant to their operations based,12
on our Safety Above All philosophy,9
We have dedicated teams supporting DEI in every,10
FedEx operating company Our DEI Corporate,18
Council consists of employees from HR Sourcing,15
and Communications The Council meets every,12
other month to foster collaboration across the,2
enterprise and bring together representatives,12
from each operating company to share best practices and support multicultural programs in,8
the communities we serve By fostering a culture,10
of DEI throughout FedEx the Council promotes,12
increased business performance innovation and,3
FedEx Express maintains a Global DEI Governing,12
Board to provide oversight on DEI efforts and,12
support our US and international regional,12
diversity councils These councils address local,8
DEI issues in support of our global strategy At,3
FedEx Services and FedEx Corporation a DEI,4
Executive Steering Committee develops DEI,7
strategy oversees initiatives and drives,12
engagement across the company FedEx Ground,10
maintains an Inclusion Leadership Council,8
comprised of a crossfunctional group of officers,7
and directors which executes strategic DEI,7
efforts FedEx Freight established a Culture,4
Leadership Team to provide direction and assess,8
our culture of inclusion and corporate citizenship,8
The FedEx culture enables a resilient workforce,3
that can respond to the challenges of today do,10
the right thing and create connections across the,15
world Our flexible network and strong culture,8
have positioned us to support businesses,3
governments and nonprofits in delivering,12
lifesaving PPE vaccines and pharmaceuticals,15
The pandemic underscored the mission of FedEx,13
to connect the world in good timesand more,10
recentlyin periods of great need Our team,2
members are united by our passion to deliver on,8
the Purple Promise This passion begins with our,8
PeopleServiceProfit PSP philosophy and is,12
driven by our Quality Driven Management QDM,17
system A successful balance of PeopleService,4
Profit is key to our success FedEx was founded,3
on the full circle philosophy that taking care of,2
our team members results in outstanding service which allows us to earn a fair profit,12
and reinvest in our team members,3
Our team members are our greatest asset and,10
the three components of our culturePSP QDM,12
and the Purple Promisecontinue to be the,4
driving force behind how we think how we work,12
Our culture stance informs values and behaviors,10
We are a global team of innovators and collaborators committed to bringing our,3
PeopleServiceProfit philosophy to life by,15
Acting with integrity in all that we do,0
Taking care of our team members,9
Embracing DEI so everyone feels,9
Helping shape a better world,10
Growing profitability to reinvest in,3
Delivering excellence and value for,8
our team members and business,3
With one FedEx culture we,3
Take care of each other We put safety above all We make safety a place a habit and a mindset,9
We bring our whole selves to work We value our differences and believe,10
Commit to do good We make connections We seeks ways to protect our planet,23
We do the right things the right way We help communities thrive,10
Drive business results We know how our roles support the business We deliver results,3
aligned to our strategy We invest wisely to drive profit We create,3
Own outstanding We make every experience matter We simplify and work smarter,8
for our customers We find ways to stand out from the crowd,15
We are fast flexible and focused,15
Create whats next We anticipate the future We stay curious We act now to stay ahead,3
We provide a path to growth for everyone,8
Culture has been a priority for FedEx since,8
reputationreflect who we are align us to whats,3
operations began nearly 50 years ago and each operating company has demonstrated its,3
important help make us resilient and empower us to deliver great results These values apply,3
commitment in its own unique way As we pursue,10
consistently to all team members regardless of,8
a strategy to support the operating principles of,3
role region or operating company,7
compete collectively operate collaboratively and,4
innovate digitally our culture will now reflect this,3
same alignment over time Based on extensive,4
A winning culture leads to winning strategies,4
It sparks the development of ideas products,15
research a global enterprisewide culture quality,3
and services that help better serve our,15
action team has identified enterprise values and behaviors to evolve our culture from now to next,10
customers As we face challenges and change our new common culture values and behaviors,8
will provide direction and inspiration for team,8
Our five culture values are grounded in everything,10
members and continue to differentiate us as an,8
that makes FedEx specialculture fundamentals,18
strategic operating principles brand and,3
implemented automated hiring processes to,8
Within the ground transportation industry,17
simplify the application process for frontline,4
many parttime workers pursue temporary,11
candidates and acquisition teams FedEx,4
employment opportunities that allow them to,8
Logistics leveraged textbased recruiting to,4
exit and reenter the workforce more frequently,8
promote job opportunities to targeted groups,8
based on their needs At FedEx we diligently,2
of potential candidates and expanded virtual,8
strive to retain full and parttime team members,8
interviews and hiring to increase pool diversity,8
through high levels of engagement competitive,4
We continue to develop our data tracking,22
wages enhanced benefits flexible scheduling,11
processes to inform and enhance our,12
and career development programs For more,8
detailed information on employee recruitment,8
and retention see the Data appendix,22
We implemented our firstever enterprisewide,12
US National Hiring Day in September 2021 This,8
Team member feedback is extremely valuable,10
included nearly 70 inperson events across 20,4
and we provide several engagement methods,10
states and a virtual career fair that attracted,8
such as annual surveys employee networks and,8
candidates from across the country These,7
direct feedback which help us understand and,2
events helped us make significant progress in,12
act upon employee concerns and expectations,10
our hiring outreach nationwide and allowed us,8
We conduct annual surveys to measure,12
to highlight why FedEx is a great place to work,3
employee perspectives on culture engagement,8
Globally we hired 366973 full and parttime,11
and diversity Senior leaders review these results,8
team members in FY21 largely to keep up with,3
to inform leadership development plans,8
increased shipping volumes However turnover,12
for parttime team members primarily package,7
We are committed to compensating our,4
handlers at our sorting locations was 136,11
during the fiscal year while fulltime employee,11
turnover was 17 Turnover rates among,0
parttime frontline workers in a number of,11
industries are historically higher than among,4
other employee groups and rates have been,11
further exacerbated by the ongoing pandemic,13
employees fairly and respect the rights of team,11
members to unionize FedEx Express pilots are,11
represented by the Air Line Pilots Association,12
International ALPA and are employed under a,8
collective bargaining agreement and a small,11
number of our other employees are unionized,11
We regularly meet with union representatives,11
to discuss and bargain where appropriate,12
At FedEx our people form the foundation of our,8
strong reputation and stand at the heart of our,0
success We are dedicated to recruiting,8
retaining and developing our team members,8
While many sectors were forced to cut jobs,11
during the early phases of the pandemic FedEx,13
continued to hire new team members and,8
However we are facing industrywide labor shortages as a result of the pandemic and other,11
external workforce shifts We remain committed,11
to creating quality employment opportunities for,8
our team members across the globe and we,7
encourage current team members to apply for,8
opportunities between operating companies to,4
further enhance their career path,8
Throughout the COVID19 pandemic FedEx has,5
continued to operate in impacted areas,5
connecting people with goods and services and,15
delivering critical medical supplies to health care,5
providers and communities around the world,10
We attract talented candidates through a,8
number of creative strategies such as social,10
programs and talent recruitment from,8
We provide all eligible full and parttime,11
team members and their eligible dependents,8
with a competitive benefits package comprised,4
of holistic health care wellness retirement,2
and other offerings Our many integrated,6
employee benefits support team member,9
quality of life and enable a flourishing workplace,9
Our benefits packages not only support team,12
members and their families but also contribute,10
to stronger communities where our team,10
We cover approximately 70 of total eligible,12
health and disability costs for approximately,9
227000 participating full and parttime team,12
members in the US as of January 2022 This,12
collection of health benefits includes flexible,9
options in medical behavioral dental vision,2
and pharmacy coverage with enhanced member,2
support services Through our plan offerings,2
team members pay lower contributions than the national average,12
In FY21 we continued to focus on team member,8
safety during the ongoing COVID19 pandemic,14
We offered free onsite COVID19 tests and,4
vaccines to all workers and badged vendors,11
at select locations All US team members and,8
their eligible spouses who receive a COVID19 vaccine can earn 100 in additional Health,2
Reimbursement Account HRA credits or Health,12
Savings Account HSA contributions for 2022,12
We also offered a onetime HRA credit of up to,12
500 to cover COVID19 outofpocket costs,18
incurred in 2020 or 2021 In 2022 this onetime,12
HRA credit continues to be available for,12
fully vaccinated team members and spouses,9
To enable team members to connect virtually,22
with medical professionals we continued to,9
expand our free telemedicine options which,12
team members used over 19000 times in 2021,8
We also operated a vaccine information site and,22
call center to provide COVID19 resources to,2
We are committed to supporting the mental,2
health and wellbeing of our team members,9
Employees and eligible dependents have access,2
to 247 confidential counseling services through,2
our Employee Assistance Program EAP and,11
Mental HealthSubstance Use benefits Our,9
WorkLife Balance Program offered to all US,11
team members provides guidance and,10
personalized resources for support on life,2
challenges such as child care parenting and,2
financial concerns FedEx Services FedEx,18
Corporation and FedEx Express hosted events,12
in FY21 focused on team member wellness,9
selfcare and stress management in addition,9
to launching new worklife flow best practices,15
FedEx also offers Critical Incident Support,5
including medical financial and behavioral,2
services to team members who have been,10
impacted by a traumatic event The FedEx,5
Purple Ribbon program supports eligible team,12
members and their family members affected by,9
catastrophe personal crisis or tragedy by,5
During the COVID19 pandemic many team,5
providing financial assistance In FY21 FedEx,12
members transitioned to remote work settings,8
awarded approximately 307000 to team,12
FedEx Services and FedEx Corporation are,18
We offer competitive retirement benefits to US,4
team members including pension and 401k,12
plans for eligible employees US employees,8
hired on or after January 1 2020 and certain,8
existing employees can participate in an all,8
401kplan with an enhanced matching,12
contribution of up to 8 of compensation,11
beginning January 1 2022 We offer pension,12
plans to certain eligible employees in addition to,8
creating a workplace of the future through the,8
Purple Flex program by supporting a variety of flexible work options and leveraging talent,8
located throughout the US where appropriate,12
FedEx Express provides a Hybrid Workplace,6
Guide to support managers and employees along,8
with virtual management upskilling tools in the,15
AsiaPacific APAC region Additionally the FedEx,3
Express global Learning Innovation for Tomorrow,3
LiFT program trains and upskills employees to future proof our workforce and provide them with,8
a 401k plan with a match of up to 35 FedEx,18
the skills of tomorrow FedEx Express developed,8
also supports families with paid parental leave,11
LiFT based on our Future of Work survey,3
and financial assistance with adoptions,2
response and LiFT centers on upskilling our team,5
members for the next five years and beyond,8
We are dedicated to providing all of our team,2
members with learning and development,8
opportunities to advance their careers at FedEx,8
All new employees complete our Core New,8
onboarding experience that covers topics,15
sustainability and DEI We leverage virtual and,15
augmented reality learning tools to safely deliver,2
interactive learning opportunities during the,2
The FedEx Learning Center provides all team,2
members with access to over 25000 online,2
courses enabling them to heighten their learning,2
experience efficiently and conveniently See the,24
Data appendix for information on team member,8
Our operating companies are continuing the,3
transition to ongoing employee coaching and feedback instead of annual performance,8
reviews providing more opportunity for,12
employees to drive their career development,8
FedEx Services and FedEx Corporation host,4
educational webinars to provide leaders with,2
skills to coach in a hybrid workplace,2
In addition to our holistic training program,2
FedEx Services and FedEx Corporation led the,18
each operating company offers resources and,3
first virtual Global Leadership Corps in FY21,3
opportunities for career growth and education,8
where participants supported nonprofits in,12
to all full and parttime employees In 2021,11
Brazil In Latin America we launched the Future,3
FedEx Express launched Whats Next a career,3
Leaders Program to develop high potential,8
journey app designed to increase visibility,15
employees and we anticipate expanding the,8
of FedEx jobs based on employee interest,4
program throughout the Latin America and,3
education and goals and to connect team,2
members to resources to help advance their,10
careers In APAC FedEx Express implemented,8
a virtual learning academy the Learning Arena,2
To help team members pursue higher education,2
we provided more than 17 million in tuition,2
to enhance critical skills in addition to an internal,2
assistance to almost 11000 employees in FY21,11
coaching program to engage high potential,2
The Learning inspired by FedEx LiFE partnership,2
managers FedEx Freight offers a 90day,18
leadership intensive program the Action,8
Learning Process ALP which brings leaders,8
together to solve realworld organizational,3
problems leveraging key leadership skills,8
and concepts ALP has led to about a 20,4
between FedEx Express and The University of,12
Memphis provides team members with the,8
opportunity to earn free college degrees online,2
This program is now open to team members at all,8
FedEx Express hub and airport locations in the,3
US as well as to all USbased FedEx Logistics,3
promotion rate for participants to date In FY22,12
and all Memphisbased FedEx Supply Chain,17
FedEx Logistics will launch the Building Business,17
employees In FY21 we expanded the LiFE,8
Leaders and Leading Leaders programs in,8
program by adding a mentoring component and,8
addition to an updated Leadership Foundations,8
extending coverage to over 100 majors and,8
program for high potential team members and,8
concentrations fueling a more than 500000,24
new managers to develop their leadership skills,8
yearoveryear increase in direct bill tuition,12
over the course of five to six months,2
assistance Upon graduation participants are,2
trained to serve as mentors to those beginning,2
the program The program currently has more,2
than 2000 enrolled participants across FedEx,12
Express FedEx Logistics and FedEx Supply Chain,17
Diversity equity and inclusion create opportunity,8
companies collaboratively participated in five,18
with the National Black MBA Association the,8
Society for Women Engineers Hiring Our Heroes,8
the Society of Hispanic Professional Engineers,8
and the Society of Asian Scientists and Engineers,8
As a global company we see exceptional,3
to diversify our external talent pool We are,8
business and community value in the diversity,8
evaluating how to expand and connect with even,3
of perspectives and experiences that our team,8
more groups at an enterprise level,12
members bring to work every day We are,11
committed to embracing DEI so everyone feels,10
appreciated and valued While we are proud of,10
what we have achieved during our almost,3
50year history we know that DEI must always,0
be at the forefront of our business strategy,3
Our operating companies continued to advance,3
and update their initiatives in support of our DEI,12
strategy this year The FedEx Ground workforce,8
career path program Purple Pathways targets,8
career growth and engagement of frontline,8
managers and package handlersour most,18
In 2020 we established four consistent strategic,3
diverse population Over 11000 team members,8
pillars across our enterprise to frame our DEI,3
are registered for the program with more than,12
work and share our progress Our People Our,10
500 Purple Pathways mentors FedEx Express,8
Education and Engagement Our Communities,10
launched OnDeck a training and development,2
Customers and Suppliers and Our Story This,17
program that provides frontline workers with,11
year we continued to align our strategy with,3
skills to prepare for management roles,8
these pillars by investing in programs initiatives,12
and people across our workforce culture,8
The most important outcomes of our DEI efforts,12
have been the opportunities created for our team,8
members to grow and advance their careers We,8
actively invest in recruiting developing and,8
retaining a diverse workforce that reflects the,8
communities we serve In FY21 our operating,10
See the Data appendix for statistics on,12
our workplace gender raceethnicity and,8
generational diversity To further our,8
transparency efforts regarding our workforce,0
composition in 2021 we began reporting the,7
prior year gender racial and ethnic composition,8
of our US workforce by EEO1 job category as,8
set forth in the consolidated EEO1 Reports filed,12
by FedEx and its operating subsidiaries with the,18
Enrich expand and enhance our,3
Serve and support our communities,10
Amplify the stories of our people,10
DEI efforts across the enterprise,12
We strive to have a workplace where team,8
members can bring their whole and best self,10
to work Through education training regular,2
communications and resources our team,10
members are encouraged to maintain open,8
dialogues that lead to an inclusive environment,10
Across our operating companies our team,3
members participate in employeeled business,8
resource teams employee networks and affinity,8
groups that help recruit develop and retain,8
talent create connections and build community,8
Numerous networks are available to team,12
members including but not limited to Women,8
in Leadership Black Professionals Network,8
Network Women Leading Change LGBT,8
Friends US Military Veterans Growing,8
EnABLE Network Men Leading Inclusively MultiFaith Network and many others,8
We continued to increase DEI education for team,2
members this year by providing microlearning,8
DEI content across our operating companies,22
The DEI Real Talk Speaker Series for officers,12
and directors across the enterprise is designed,7
to foster acceptance promote antibiases,4
and encourage a more inclusive society FedEx,8
Ground launched SVP Real Conversations to,1
prepare participants for the next level of,2
leadership through Senior Vice Presidenthosted,8
forums FedEx Ground also hosted several,12
leaders and team members candidly discussed,10
DEI topics FedEx Freight launched The Culture,4
Brief DEI TuneUp email and podcast to,12
provide short content on DEI topics to leaders,12
This year FedEx Services included five DEI,18
questions in its engagement survey to capture,10
team member perspectives on inclusion in the,8
workplace This overall inclusion index showed,8
a 92 favorability rating and approximately,4
13500 team members completed the survey,10
FedEx Ground also included a DEI engagement,12
question in its annual engagement survey and,12
added DEI as a standard goal in the FY22 team,8
member annual performance review process,12
FedEx Express launched the Convene program,12
where a rotating group of four vice president,7
level diversity sponsors mentor other team,8
members through a virtual mentoring program,8
Our commitment to diversity starts at the top,8
The FedEx Board of Directors includes 12 directors four of whom are women and four,7
of whom are ethnically diverse In the US women represent 27 of FedEx management,8
employees while 41 of management employees are minorities,8
meeting Additionally FedEx Ground created a,12
sixsession High School Pathways program to,2
expose high school students to various FedEx,2
Ground careers and prepare them to transition,8
from high school into the workforce,8
In June our operating companies came,18
together for Pride Month by creating a,8
leadershipled video series showcasing our,8
commitment to the LGBTQ community,8
designing a FedEx Cares Pride logo and,8
introducing pronouns into our email signature,8
line We also pledged 25 million to The Asian,12
FedEx amplifies team member stories to,4
celebrate our differences and promote DEI,10
efforts across the enterprise Our DEI Depot is,12
an enterprisewide online platform where team,1
members can access DEI resources events and,8
team member stories FedEx Corporate FedEx,18
Express FedEx Ground and FedEx Services,22
circulate a quarterly DEI Download newsletter,12
which provides managers and leaders with,8
useful insights and resources to promote DEI,12
conversations within their teams FedEx Ground,4
American Foundation to support Asian American,8
also hosts a simulated talk show Get REAL,4
and Pacific Islander communities across the US,8
We are proud to support diverse businesses and,8
which invites guests to courageously share their,2
know that our suppliers enable us to better serve,17
our customers and compete more effectively in,4
the global marketplace We formed our Supplier,17
Diversity program in 1992 to formalize our,8
commitment to a supply chain that intentionally,17
develops small and minorityowned businesses,8
Furthermore in the US FedEx has hosted a Small,4
Business Grant Contest for the past 10 years,12
In 2021 we gave away over 250000 in grants,12
and prizes to contest winnersof which 50,12
was given to minorityowned businesses and,4
more than 75 was given to womanowned,12
businesses To learn more about our Supplier,17
Diversity program please see the Our supply,8
chain section of this report,17
Our communities customers and suppliers,17
Our commitment to DEI extends beyond our,10
businessit is an investment we make to serve,12
and support our communities customers and,10
suppliers We are proud to have contributed,17
more than 7 million to nonprofit organizations,2
focused on supporting DEI in FY21,2
We provide more than 1 million annually for,2
leadership development programs in the US,8
mainly through seven scholarship funds We also,12
sponsor endowed scholarships at four Historically,2
Black Colleges and Universities HBCUs,8
Tennessee State University Jackson State,8
Mississippi Valley State University These funds,2
provide scholarships that range from 1000 to,2
25000 annually to more than 120 college and,2
university students across various STEM business,8
This year we continued our longstanding support,12
of HBCUs by providing 5 million to a group,2
of HBCUs across the country to help prepare,12
students for the workforce beyond formal,8
education Additionally in 2022 we launched the,2
which will prepare students at HBCUs to be future,2
leaders by interacting with FedEx executives and,8
building leadership and careerready skills,8
Across our operating companies and in,3
cooperation with key organizations we recruit,12
candidates from a variety of backgrounds to,8
build a workforce that reflects the world and,8
communities we serve The FedEx Services,10
College Connections program builds relationships,8
with college campuses in close proximity to,2
main FedEx Services geographies to effectively compete for talent FedEx Freight implements,4
The Boardroom Experience to introduce Black,8
Hispanic and other students of color to career,8
possibilities at FedEx through a simulated board,4
Our longstanding Safety Above All philosophy,9
is a top priority across our enterprise and in,12
our daytoday work Robust policies continual,12
team member education and innovative,2
technology investments are the foundation,12
of our commitment to make workplaces,8
and communities safer for our employees,10
customers and the public The Governance,12
Safety and Public Policy Committee of our,12
Board oversees our safety strategies policies,9
We constantly evaluate and strive to improve,12
our operational safety performance by tracking,9
key safety metrics reviewing the effectiveness,14
of new metrics and working toward a holistic,12
safetyreporting platform In FY21 our lost,9
timeinjury rate was 399 an increase of 186,12
compared to FY20 See our Data appendix for,18
more information on our FY21 and yearover year safety performance,14
We depend on the proactive engagement and,10
involvement of our team members to prevent,10
accidents and injuries Employees at FedEx,9
Express can provide direct feedback on how to,2
improve safety performance through the bi,9
annual Aviation Safety Culture Survey Team member feedback has allowed us to create action,9
programs for safety performance improvement,9
and we expanded this USbased survey to all,12
FedEx Express global regions in 2021,3
FedEx Express also implemented a Live Safe,18
mobile app where all team members can submit,7
safety reports which are monitored 247 by the,14
FedEx Security team FedEx Express piloted an,1
expansion of this program at the Memphis hub,3
to provide team members with a central kiosk,15
to report safety incidents or concerns We,9
continually look to increase our team members,8
accessibility to reporting mechanisms and are in,12
the process of launching the kiosk in eight more,15
FedEx Express launched Stay Sharp in 2020 an,3
interactive program that encourages employee,8
safety engagement and awareness and,9
recognizes team members for working safely,9
Stay Sharp continued to expand in 2021 with,3
safety teams in Canada Latin America Asia and,9
The FedEx Express Safety Management System,9
In FY21 FedEx Ground created an Operations,18
Europe embracing and modifying the program,12
FXESMS implemented with guidance from,12
Safety Specialist OSS position in strategic,9
the Federal Aviation Administration provides,12
locations to drive the success of safety strategies,9
We utilize safety management systems SMS to,9
reduce workrelated injuries and illnesses Each,9
operating company implements policies and,12
procedures to adhere to international standards,12
and manage health and safety risks,9
consistent policies processes and procedures,12
OSS team members create customized safety,9
to limit human error in our aviation operations,5
strategies within their local operating,3
The FXESMS supports team members in the,4
environment and are trained to identify and,10
identification and reporting of potential hazards,9
mitigate workplace safety hazards Additionally,9
and better enables our safety culture In FY21,9
FedEx Ground offers the Leading with Safety,9
FedEx Express began developing a mitigation,18
program that prepares managers to create a,8
tracking system to centralize data collection,22
safe workplace culture enabling employees to,9
which helped facilitate safety performance,9
execute safety processes detect hazards and,9
measurement and ongoing evaluation of,12
stop work when necessary As of December,11
The FedEx SMS Accountable Executive Team,12
safety controls FedEx Express International,9
2021 877 participants in the US and Canada,12
meets quarterly to review safety performance,14
implements an incident management system,5
and the President and CEO of FedEx Express,3
that supports root cause analysis and enables,18
collaborates with the Safety and Airworthiness,21
better action planning In 2021 we expanded,12
Vice President among other safety staff to,9
this system to our operations in the Middle East,3
evaluate progress against safety goals,9
Driving is a key responsibility for many team,10
members throughout our organization We,8
ensure the safety of our drivers as well as the,9
people and communities with whom we share,10
the road by equipping current and new vehicles,24
with innovative road safety technologies such as,5
video event data recorder VEDR technology,1
turnbyturn directions to prevent drivers from,5
looking at a screen for navigation assistance,1
autodocking technology GPS tracking to,1
improve route safety and other collision,9
This year we continued to deploy VEDR,5
technology across our operating companies,1
FedEx Express installed VEDR cameras in over,24
half of its PUD vehicles and plans to cover 100,24
of the fleet by May 2022 This technology,24
significantly reduces distracted driving events,5
and managers use the footage as a coaching tool to review near misses or incidents and facilitate,9
drivers At FedEx Ground VEDR cameras are,22
installed in all PUD vehicles and linehaul tractors,24
This has led to a 19 reduction in accidents,5
per million miles since 2017 FedEx Ground,24
additionally requires all linehaul tractors to be,12
equipped with Forward Collision and Avoidance,5
Mitigation technology which has led to a 43,13
reduction for singles and a 34 reduction for,12
teams in forward collision accidents per million,5
miles since 2018 We are researching emerging,4
technologies such as mirrorless trucks and,15
autonomous driving capabilities to further,15
support our longstanding commitment to safety,9
During the COVID19 pandemic we implemented,13
numerous measures to keep our team members,10
customers and communities safe while operating,10
on the front lines in impacted areas and delivering,5
critical medical supplies around the world Our,5
team members demonstrated incredible resiliency,3
in the face of adversity and did not lose sight of,18
We remained agile and collaborated across our,3
operating companies to build systems from the,15
ground up to track positive cases oversee,12
employees return to work and manage country,11
specific quarantine and testing regulations for,12
team members around the world We continue,8
to share insights and best practices in,3
preparation for any future public health crises,5
See our COVID19 website to learn about our,3
wider pandemic response and our Quality of life,5
section for details on how we are continuing to,12
support the wellbeing of our team members,10
