paragraph,predict_label
program open to all Black and African American ,"8
"
employees at the senior director level and below ,"7
"
that translates mind science research on race and ,"8
"
other identities into solutions that reduce bias and ,"4
"
At Visa men and women earn the same pay for the ,"11
"
same work globally and the same is true for historically ,"4
"
As part of building our inclusive and equitable organization ,"8
"
we are committed to tracking measuring evaluating and ,"12
"
pay equity Visa conducts pay equity assessments on an ,"12
"
	  Announced the inaugural class of 50 Visa Black ,"12
"
the Visa Black Scholars and Jobs Program includes a ,"8
"
10 million investment from Visa over the next five ,"12
"
Black and African American high school students in ,"8
"
meet all program requirements will receive a fulltime ,"2
"
1 Equal pay analysis is based on FY21 total compensation which includes base salary VIP Visa Incentive Plan and LTIP LongTerm Incentive Program  Underrepresented employees are BlackAfrican American HispanicLatinx American IndianAlaska Native Native HawaiianOther Pacific Islander or two or more races  ,"8
"
of the benefits available to Visa employees in the US that ,"11
"
featured a speaker series from the National Autistic ,"2
"
diversity efforts and help foster an inclusive workplace ,"8
"
may be of particular interest to members of the LGBTQ ,"8
"
environment that seeks to fully take advantage of ,"4
"
We believe that active allyship is key to fostering an ,"4
"
As part of Transgender Day of Visibility in 2021 we highlighted ,"8
"
our partnership with Daylight the first digital bank to address ,"2
"
the unique financial needs of the LGBTQ community ,"8
"
Additionally Visa partnered with Chase and United Airlines ,"12
"
	  Visa Womens Network VWN includes Women in Business Women in Finance Women in Product ,"8
"
Visa celebrates the individuality of all employees and ,"11
"
is committed to building an inclusive culture where ,"8
"
all employees feel they belong no matter whom they ,"7
"
love Visa is a proud supporter of the Lesbian Gay Bi ,"8
"
to support the Human Rights Campaign StartOut and The ,"10
"
Trevor Project to drive donations to these organizations ,"12
"
and perspectives to help make the business and company ,"3
"
culture better We also recognize the unique contributions ,"8
"
any other form of diversity provides input of different ,"8
"
in 2019 to help ensure Visas workplace remains one of ,"8
"
which take into account the unique needs of the LGBTQ ,"8
"
community In 2021 we partnered with the Pride ERG to ,"8
"
develop the LGBTQ Benefits Toolkit a highlevel overview ,"8
"
We provide training opportunities to equip our employees ,"8
"
with resources and tools to become active allies and ,"10
"
learn behaviors that build a workplace where diverse ,"8
"
Global Inclusion Talks speaker series This series provides ,"8
"
employees can take to demonstrate solidarity and build ,"10
"
a better understanding of the experiences of historically ,"9
"
to combat unconscious bias by participating in internal ,"0
"
courses on our virtual learning platforms In addition new ,"2
"
manager training is designed to reinforce a culture of ,"8
"
At Visa we are focused on creating fair and equitable ,"4
"
Web Content Accessibility Guidelines WCAG 21 AA is a ,"2
"
advance social justice racial equality and inclusion in ,"8
"
products that can serve as many people as possible We ,"15
"
global standard for accessibility that helps reduce barriers ,"2
"
believe inclusive product design produces better and more ,"15
"
to people with disabilities At Visa we have created Global ,"8
"
	  We expanded the focus of pro bono legal efforts to ,"12
"
	  Visa Chairman  CEO Al Kelly participated in the 2021 ,"12
"
to become a more inclusive and diverse company ,"8
"
thoughtful products as well as being a crucial element of ,"15
"
Accessibility Requirements VGAR to support Visa staff to ,"8
"
our strategy to uplift everyone everywhere by being the ,"10
"
VGAR is a 5step methodology that supports compliance with ,"12
"
In using an inclusionfirst approach we are able to develop ,"8
"
products that reflect the full range of diversity in identity ,"8
"
and experiences of our clients partners and consumers ,"15
"
international accessibility standards and laws For more on ,"12
"
We also are using the strength and influence of the Visa ,"12
"
intentional inclusion we are working to remove non,"8
"
inclusive technology terminology and code in Visa owned ,"8
"
applications systems and artifacts As the project evolves ,"3
"
allyship mentorship and leveling the playing field for ,"2
"
we are using scanning tools expertise and ITT Guiding ,"12
"
As part of Visas continuing efforts to build a culture of ,"8
"
brand to foster inclusive communities We will continue ,"10
"
partnerships with a diverse set of Team Visa athletes who are ,"8
"
representative of the communities where we live and work ,"10
"
women especially Women of Color in the workplace ,"8
"
In 2021 we launched a Creative Review Advisory ,"12
"
action for gender equality The Visa Foundation and Kiva ,"8
"
We are also using our influence as a company to catalyze ,"4
"
change externally For example we are working to diversify our ,"3
"
supply chain by updating sourcing language and considering ,"17
"
diversity when making selections For more information on our ,"8
"
supplier diversity efforts see page 48 of this report ,"8
"
Council that reviews and advises on Visa marketing and ,"12
"
In order to support interoperability with the technology and ,"1
"
payments ecosystem Visa will work with the industry to ,"0
"
terms and apply changes in conjunction with the industry ,"12
"
an interface to make it accessible for people with ,"2
"
disabilities including those that affect a users visual ,"8
"
physical cognitive or hearing ability Careful design and ,"8
"
implementation help ensure a good user experience for all ,"1
"
Council consists of Visa employees who are members ,"11
"
of a Visa ERG and represent varying career levels in ,"8
"
cultural and gender identities We believe these diverse ,"8
"
Visa has a longstanding commitment to invest in our ,"12
"
Program a flagship program for Visa and the payments ,"12
"
set a key benchmark of skills proficiency for everyone at ,"8
"
programs in areas of payments technology inclusion and ,"8
"
that supports new college graduates joining Visa in the ,"8
"
	  Best Places to Work for LGBTQ Equality  100 ,"8
"
	  100 on the Disability Equality Index  Best Place ,"8
"
In FY21 with many of our employees continuing to work ,"11
"
remotely we adapted our strategy for delivering learning ,"2
"
to ensure we still met the development needs of our ,"2
"
in 2021 by transitioning to virtual instructorled training ,"8
"
and Advance Sales program a bespoke sales training ,"6
"
program designed to elevate the key skills behaviors and ,"8
"
scaling our approach upskilling designers and trainers and ,"8
"
optimizing processes on the Visa Learning Hub In 2021 we ,"12
"
saw over 21000 active users on the Visa Learning Hub a 42 ,"12
"
Additionally we hosted Visas third annual global Learning  ,"2
"
Festival virtually A series of over 80 learning sessions was  ,"2
"
created to inspire employee curiosity around the theme  ,"8
"
	  Establishing a mentoring program in North America to ,"2
"
support focused development for a range of levels and ,"2
"
growth centered around the three pillars of Visas ,"18
"
	  Creating the Visa Inside Track Challenge a new gamified ,"4
"
teams and all of Visa on the growing catalog of available ,"6
"
than a quarter of Visa employees registered for a virtual ,"8
"
event Across the 80 sessions there were over 28000 ,"12
"
registrations totaling more than 80000 hours of training ,"2
"
As a part of the 2021 Visa Learning Festival Visa ,"12
"
In 2022 we aim to increase participation and learning  ,"2
"
employees had the opportunity to participate in one of ,"8
"
Management Lab PML PML is a fully reimagined  ,"12
"
by several global organizations In 2021 Visa was named ,"12
"
15 in the top 100 global learning organizations by Training ,"2
"
magazine Visa also was recognized as a topten global ,"12
"
learning organization ranked 9 out of 70 submissions ,"2
"
Visa named 15 in top 100 global learning organizations ,"2
"
for work in diversity and inclusion training virtual training ,"8
"
At Visa we prioritize cultivating an educated skilled and ,"8
"
innovations and involvement of Visa senior executives in ,"7
"
diverse workforce In support of our priority and as part of ,"8
"
our 2018 Pledge to American Workers we continue working ,"11
"
both within and outside of Visas workforce including ,"8
"
programs In the summer of 2021 we hosted over 300 full,"2
"
time interns with the goal of offering high performers Visa ,"8
"
Additionally Visa was recognized with bronze awards in ,"12
"
two categories Best Results of a Learning Program and ,"2
"
Best Program for Sales and Training Performance for the ,"14
"
design development distribution and results of Visa Inside ,"12
"
In 2021 86 of Visa employees participated in Visa ,"11
"
of learning a 30 increase in participation from 2020 ,"2
"
leveraged one or more of over 100000 digital assets ,"18
"
In 2021 we reorganized and rebranded our Human ,"3
"
The internal launch of Visas brand evolution  Meet ,"3
"
new purpose and brand We focused storytelling across ,"3
"
Resources organization as the People Team to better ,"10
"
of our employees as they share how their work uplifts ,"10
"
reflect Visas strategic people programs and processes We ,"3
"
function to deepen focus on the employee experience ,"8
"
We continue to inform and engage our employees through ,"11
"
content on Visas intranet digital signage and employee ,"1
"
As part of our ongoing commitment to increase employee ,"8
"
more than once per year to assess employee engagement ,"8
"
Return to Office and Reimagining Work while fostering a ,"3
"
culture that values employee growth and wellbeing Our ,"8
"
actions include continuing a biweekly video series from ,"12
"
our Chairman and CEO as well as regular allstaff meetings ,"7
"
held by our regional and functional leaders to allow ,"7
"
employees to ask direct questions about Visas business ,"11
"
In 2021 we continued to support the evolving needs of ,"2
"
public health challenges we faced Visas continued focus ,"2
"
In 2020 we replaced our Annual Employee Survey with ,"8
"
COVID19 and the sudden transition to remote work ,"17
"
and respond to employee needs in an evolving and ,"10
"
According to the results of a 2021 employee pulse survey ,"8
"
opinions are valued and felt free to voice a contrary opinion ,"0
"
without fear of any negative consequences In 2021 we ,"12
"
launched a wellbeingfocused pulse survey to inform the ,"10
"
design of new and existing global wellbeing offerings ,"9
"
Our LifeatVisa Instagram channel continues to be an ,"22
"
and the general public to get a glimpse into Visas people ,"8
"
to drive growth and improvement In 2021 100 percent of ,"3
"
in 2021 including one that enables our employees and ,"11
"
employees sent more than 6000 virtual cards to their ,"22
"
colleagues A pulse survey from the summer of 2021 noted ,"12
"
that 76 of employees feel that Visa is recognizing the ,"0
"
In 2022 we plan to create a global blueprint for how we ,"12
"
want to standardize and promote a culture of recognition ,"4
"
Visa has heightened our focus on supporting the mental ,"2
"
health of our employees We launched the Be Well ,"9
"
The Be Well Wellbeing Hub hosts tools workshops and ,"9
"
addition at no cost to employees a dedicated wellness ,"2
"
coach is reachable by video phone or chat ,"22
"
We enhanced our Wellbeing program in 2021 with the ,"9
"
Visa talent teams to build psychological safety and ,"9
"
	  Scaled our Mental Health and Wellbeing for Peak ,"9
"
Performance course in Visa University to be offered in ,"2
"
our Central and Eastern Europe Middle East and Africa ,"3
"
We are using local and national guidance and emergency ,"5
"
best practices as employees return to offices in 2022 ,"10
"
We designed a new Flexible Work approach to be ,"15
"
Pacific Islander Latinx and Black and African American ,"8
"
implemented as we welcome our employees back to ,"8
"
Visa offices We work closely with governments and ,"12
"
health providers to make vaccines readily available to ,"2
"
our employees along with education sessions on the ,"2
"
employees to decompress and find respite with the ,"18
"
support of a facilitator or licensed mental health provider ,"2
"
leaders to offer their advice to people leaders and ,"10
"
digital wellbeing mental health and work and beyond ,"9
"
We continue to offer programs with a renewed focus on ,"2
"
	  Access to virtual health and wellness coaching and a ,"2
"
flexibility and mental health Our benefits vary by location ,"9
"
Our employees are our most important asset and we ,"7
"
continue to enhance and evolve our Total Rewards ,"4
"
	  20 service days for backup child and elder care ,"2
"
compensation programs to attract and retain a talented ,"8
"
	  Dedicated wellbeing time at the end of each work ,"9
"
and engaged workforce In addition to competitive base ,"8
"
week for employees to devote to their personal or ,"11
"
salary and bonus plans financial benefits include a stock ,"11
"
purchase plan available to 97 percent of our employees ,"11
"
worldwide and a 401k plan with matching contributions ,"12
"
	  Paid full day off work to vote in national elections ,"11
"
	  A Mental Health and Wellbeing Community to enable ,"2
"
employees to connect and support each other and ,"10
"
to help to remove the stigma associated with mental ,"8
"
work from another location for up to 4 weeks out of the ,"11
"
Additionally at Visa we support our employees in the  ,"11
"
US by supporting their family life Visa Benefits package  ,"2
"
and medical services regardless of medical necessity or  ,"2
"
Visas support for our employees safety includes providing ,"9
"
for them to work effectively and safely To promote healthy ,"9
"
Visa has a longstanding commitment to protecting the ,"12
"
physical safety mental health and wellbeing of our global ,"9
"
resides with the Visa Global Security and Safety GSS ,"0
"
team which promotes the safety of Visas employees ,"9
"
flexibility at the end of the work week ,"11
"
and contingent workers by establishing health and safety ,"9
"
practices In 2021 we expanded the employee headcount ,"8
"
in health and safety emergency preparedness and security ,"5
"
Visa also maintains an Ergonomics Program that provides ,"4
"
create an environment in which they can work comfortably ,"9
"
The GSS team maintains a global Safety Health and ,"9
"
Environmental policy and provides relevant training to the ,"12
"
executive team and key employees Visa assesses and ,"8
"
training to guide employees on how to identify potential ,"8
"
receive a personal plan on how to address identified ,"2
"
	  Emerging security threats such as natural disasters civil ,"5
"
	  Personnel on business travel and employees who are ,"8
"
To track our health and safety performance Visa conducts ,"9
"
both monthly and annual audits of our health and safety ,"9
"
equipment and facilities Each month we track and audit ,"24
"
our near misses injuries and worker compensation claims ,"9
"
We continue to use our products services network ,"15
"
Visa continues to aim to be among global corporate leaders in our efforts in this decisive decade of action ,"18
"
We focus our efforts on delivering on our corporate climatefocused goals and aspirations ,"13
"
Maintain carbon neutrality of our operations greenhouse gas emissions scopes 1 and 2  ,"25
"
as well as the business travel and employee commuting components of scope 3  ,"11
"
Eliminate the footprint from our scopes 1 2 and 3 emissions ,"25
"
Support positive climate action beyond our operational footprint by leveraging our products  ,"13
"
Visas net zero by 2040 goal is aligned with global standards and definitions and will include efforts with suppliers to abate  ,"17
"
a significant portion of the greenhouse gas footprint of the Companys purchased goods and services Visa also has set  ,"25
"
sciencebased targets through the Science Based Target initiative SBTi at the 15 degree Celsius ambition leveltargets that  ,"12
"
Our initiatives to deliver on our corporate goals for ,"10
"
Visas data centers account for more than half of our total  ,"22
"
electricity consumption and are an important focus of  ,"24
"
our sustainability efforts In 2021 we achieved yearover,"15
"
year improvements in our data center energy efficiency  ,"24
"
measured by power usage effectiveness PUE as a   ,"24
"
our efforts within Visa We take a proactive approach to ,"12
"
result of programs such as upgrading our cooling and server  ,"24
"
equipment We have also piloted and evaluated innovations  ,"15
"
activities which primarily include data centers and offices ,"1
"
like direct expansion dry mode cooling and immersion  ,"24
"
cooling to improve our energy andor water efficiency ,"24
"
Visa is committed to reducing the environmental impact  ,"23
"
of our offices and data centers by focusing on green  ,"17
"
and water use Our approach includes obtaining the  ,"20
"
US Green Building Councils Leadership in Energy and  ,"24
"
buildout of our office facilities We use green building  ,"15
"
As of September 30 2021 Visa owned or leased 123 office ,"12
"
locations in 77 countries around the world including three ,"3
"
data centers At the end of 2021 approximately 75 percent ,"1
"
of Visas owned or leased square footage achieved or was ,"24
"
Globally the PUE in our data centers has improved by 17  ,"18
"
The average PUE value represents a weighted average based on the reported PUE metrics and  total energy consumption at each of our data center locations ,"24
"
Visa continues to meet our goal first announced in 2018 of ,"12
"
purchasing 100 percent renewable electricity for our offices ,"24
"
and data centers through participation in utility renewable ,"24
"
to identify enable and encourage more sustainable travel ,"15
"
energy programs and through the purchase of renewable ,"24
"
mode switching and staying at green certified hotels ,"24
"
In 2021 we signed a multiyear agreement with MP2 ,"12
"
As part of our efforts to reduce emissions from our air ,"21
"
Energy to power Visas largest data center  accounting ,"18
"
travel in September 2021 Visa joined the World Economic ,"12
"
In 2020 Visa issued our inaugural 500 million green ,"23
"
bond  believed to be the first green bond issued by a ,"12
"
for 45 percent of our electricity usage  with 100 ,"24
"
Forums WEF Clean Skies for Tomorrow Coalition as ,"3
"
We intend for our projects to align with the eligibility ,"12
"
a signatory to advance the commercial scale of viable ,"12
"
facilities The agreement signals the next phase for Visa ,"12
"
production of Sustainable Aviation Fuel SAF for broad ,"24
"
adoption in the industry Through the Coalition we ,"12
"
additional renewable electricity capacity to the grid while ,"24
"
are joining with our peer members to contribute to ,"10
"
accelerating the supply and use of SAF to reach ,"17
"
10 percent of global jet aviation fuel supply by 2030 ,"24
"
are using the green bond due in 2027 to finance ,"12
"
In 2021 we published our first Green Bond Report ,"12
"
detailing the use of proceeds thus far Our initial use of ,"12
"
Additionally in December 2021 Visa joined the United ,"12
"
Airlines EcoSkies Alliance and committed to reducing the ,"23
"
carbon emissions from our business travel on the carrier by ,"25
"
helping to fund the green premium for SAF ,"12
"
Visa helps eligible employees reduce the emissions from ,"12
"
the green bond proceeds helped us achieve carbon ,"12
"
public transit and bicycle commuting and access to electric ,"24
"
Visa addresses the remainder of our renewable energy ,"24
"
While we have achieved our goal of purchasing 100 ,"24
"
Visa also continues to champion the overall corporate ,"4
"
membership in the RE100 and support of the Clean Energy ,"24
"
Visa strives to inspire our employees around the world ,"8
"
to be sustainability champions and advocates in the ,"3
"
workplace at home and in our communities We do so ,"8
"
throughout the year by offering webinars emails videos ,"4
"
and chat sessions to share tips and suggestions for ,"1
"
Each April we host our global Visa Earth Month series of ,"2
"
events including the Earth Month Speaker Series focused ,"13
"
on topics such as the state of the planet the emergence of ,"23
"
the sustainable consumer and the role that fintech can play ,"15
"
in sustainability and our Earth Month EcoChallenge which ,"3
"
asks employees to make simple commitments to help ,"10
"
reduce their footprint and to support Visas commitments ,"12
"
In 2021 we created a new sustainability learning path within ,"15
"
The new learning path is designed to give employees a ,"8
"
foundation in topics and solutions related to sustainability ,"15
"
Visa recognizes the importance of addressing the emissions ,"25
"
from our purchased goods and services which make up ,"15
"
94 percent of Visas scope 3 emissions To that end Visa ,"25
"
engages with our suppliers to help them measure and report ,"17
"
their emissions and to set Science Based Targets ,"25
"
Supplier Code of Conduct which suppliers receive during ,"17
"
the onboarding process and Visas participation in the ,"12
"
Through the CDP Supply Chain program we engage ,"17
"
footprint setting targets reporting to the CDP and ,"12
"
Since joining the CDP Supply Chain program Visa ,"17
"
each year since 2008 We measure our global energy ,"24
"
and water use waste production landfill diversion and ,"19
"
GHG emissions Our energy and GHG emissions are ,"25
"
verified by an independent third party The 2021 GHG ,"25
"
Verification Statement is publicly available on our website ,"12
"
and included in the Appendix of this report ,"12
"
Around the world momentum continues to accelerate behind the need to take urgent action on climate  ,"13
"
change and transition to a lowcarbon economy Visa is responding by taking serious action to reduce  ,"3
"
GHG emissions including achieving carbon neutrality across our operations for the first time in 2020  ,"25
"
This achievement which includes the footprint from our scope 1 scope 2 and the employee ,"8
"
commutingbusiness travel components of scope 3 greenhouse gas emissions is the result of ongoing ,"25
"
energy efficiency initiatives our transition to 100 percent renewable electricity and limited use of carbon ,"24
"
offsets to cover our residual footprint Our carbon offsets portfolio spans regions in which we operate ,"12
"
and includes projects such as forest management in the US reforestation in Uruguay renewable ,"23
"
energy generation in Turkey China and India and clean cookstove initiatives in Kenya and Uganda ,"24
"
We use international standards including the GHG Protocol to measure and report GHG emissions ,"25
"
associated primarily with our energy usage business travel and employee commuting ,"24
"
In 2021 we used approximately 646000 gigajoules GJ of energy from electricity natural gas and other ,"24
"
Operational Emissions Relative to 2009 MTCOeOperational Emissions Relative to 2009 MTCOe,"25
"
fuels  an eight percent decrease in consumption compared to 2020 ,"24
"
Our energy intensity per square foot a commonly used metric that adjusts for growth improved by 10 ,"24
"
percent yearoveryear the seventh consecutive year of improvement ,"18
"
Our scope 1 and 2 GHG emissions measured in absolute terms with a marketbased approach were ,"25
"
4000 metric tons of carbon dioxide equivalent MTCO2e in 2021 This represents a 71 percent decrease ,"25
"
yearoveryear from 2020largely driven by the achievement of our goal to transition to 100 percent ,"3
"
In 2021 Visa responded to the CDP Climate Change questionnaire for the 11th consecutive year and ,"13
"
was named to the CDP AList for the first time Visas CDP response is available on the websites of ,"12
"
Scope 3 Emissions MTCO eScope 3 Emissions MTCO e,"25
"
Fuelandenergyrelated activities not included in Scopre 1 or 2 ,"4
"
We recognize the importance of protecting water as a shared resource particularly in water,"20
"
constrained areas Although as a payments technology company Visas business is not ,"0
"
water intensive we do implement datadriven strategies to reduce the total water use at our ,"20
"
In 2021 we used an estimated 38950000 gallons of potable water in our global portfolio ,"20
"
We largely attribute our 32 percent potable water usage decrease yearoveryear to ,"20
"
temporary office closures By facility type 77 percent of potable water use occurred in our ,"20
"
offices while 23 percent occurred in our data centers in which we use a significant amount ,"22
"
Change in Potable Water Use Relative to 2015,"20
"
In 2021 46 of Visas total water usage came ,"20
"
While not a major producer of solid waste Visa continues to reduce the amount of office ,"19
"
waste we dispose of in landfills each year Visa works to reduce waste streams at our ,"19
"
office facilities and data centers through thoughtful design of our spaces and kitchenettes ,"24
"
engaging with our food service providers reducing singleuse items and plastics and by ,"15
"
In 2021 we achieved a landfill diversion rate of 43 percent or 229 kg per employee ,"19
"
Diversion rate per employee is calculated based on the total amount of Visas operational ,"0
"
waste that is recycled reused or composted in the reporting year divided by the total ,"19
"
number of employees This does not include waste that is landfilled or incinerated,"19
"
to embed sustainability into physical payment cards and ,"15
"
Visa continues to expand our initiatives toward being a ,"12
"
across our business Our existing efforts to support a low,"3
"
research to understand barriers to and drivers of ,"18
"
shape the broader landscape for the net zero transition ,"3
"
Highlights of our efforts in 2021 include the following ,"10
"
For the third year Visa participated as a design partner ,"15
"
linked to healthier and more sustainable lifestyles and ,"15
"
Service solution to empower their customers to take ,"15
"
	  Announced the launch of Visa Eco Benefits to allow ,"12
"
the goal of enabling their cardholders to engage in ,"4
"
Visa partnered with thirdparty research firms to conduct ,"4
"
sustainable behaviors such as in mobility and travel ,"15
"
begins with our efforts to help the broader payments and ,"0
"
four markets We continue to disseminate the results of ,"4
"
	  Continued to support the introduction and uptake by ,"4
"
our clients of sustainable materials for physical payment ,"15
"
cards including the CPI Card Groups payment card ,"22
"
composed of up to 98 percent upcycled plastic ,"19
"
support a sustainable future As a result of this work CISL ,"10
"
identified four roles that payment networks can play to ,"1
"
bridge the opportunity gap by enabling net zero solutions ,"18
"
Read the CISL report Payments for Net Zero How the ,"0
"
payments industry can contribute to the transition to a net ,"18
"
innovation as well as the provision of information and ,"12
"
As a global payments network we believe we can play ,"18
"
an important role in helping consumers and businesses ,"15
"
shift to more sustainable behaviors through our efforts ,"15
"
In addition to our efforts to support sustainable commerce  ,"15
"
cards and accounts Visa also continues to work in areas  ,"12
"
expertise andor brand platform can play a role  ,"3
"
Visa is working to bring digital payments to citizens ,"12
"
climate change In 2021 Visa continued to work with transit ,"13
"
agencies in more than 400 cities worldwide to support ,"12
"
In 2021 Visa continued our partnership with the Global ,"12
"
Resilient Cities Network GRCN to help cities become more ,"3
"
resilient to the physical environmental social and economic ,"3
"
Visa is supporting the global transition to electric vehicles ,"24
"
by partnering with leading participants in the EVC ,"4
"
experience at charging stations In 2021 Visa continued ,"24
"
to expand usage of a dedicated merchant category code ,"4
"
for EVC jointly published a white paper on open loop ,"4
"
payments for EVC conducted a study on EVC challenges ,"0
"
and opportunities and served as lead supporter of the ,"10
"
EV Summit As we entered 2022 Visa also announced ,"12
"
our joining as the first payments community member of ,"10
"
CharIN an international charging initiative working with all ,"12
"
Visa continued our efforts to help advance sustainable ,"15
"
At Visa we believe in the importance of supporting public ,"12
"
travel and tourism through our founding partner role ,"3
"
policy dialogue as part of our approach to sustainable ,"12
"
with Travalyst a sustainable travel and tourism initiative ,"15
"
commerce decarbonization and net zero In 2021 we ,"4
"
founded by the Duke of Sussex together with Skyscanner ,"12
"
continued our participation in the Energy and Environment ,"12
"
BRT the Sustainable Finance Working Group of the ,"12
"
Visa also launched the Visa for Athens sustainable tourism ,"12
"
initiative contributed to the Net Zero Roadmap of the ,"12
"
World Travel  Tourism Council and served as a member ,"12
"
of the World Economic Forums Global Agenda Council for ,"12
"
Visa remains committed to helping build and support the ,"10
"
In 2021 Visa joined the World Business Council for ,"12
"
of over 200 leading businesses working together to ,"3
"
accelerate the transition to a sustainable world Visa also ,"10
"
continued to serve as a Founding Partner of and contributor ,"3
"
to Brands for Good an initiative of Sustainable Brands ,"15
"
focused on building a movement among leading brands ,"15
"
to make sustainable living more attractive rewarding and ,"15
"
founding member of the Adweek Sustainability Council a ,"3
"
group comprised of CMOs and heads of sustainability from ,"7
"
the worlds top brands working to address responsible ,"15
"
Alignment with Task Force on ClimateRelated Financial Disclosures TCFD ,"13
"
through quarterly ESG updates to the Nominating and ,"12
"
quarterly and has formal responsibility for and oversight ,"12
"
Board and continues to help formalize oversight and ,"7
"
Visas global sustainability strategy centers on our goals ,"3
"
of achieving netzero emissions by 2040 and maintaining ,"25
"
carbon neutral operations while limiting use of offsets ,"12
"
designed to enable and encourage cardholders to engage ,"12
"
clients as part of our climate positive goal ,"13
"
In 2021 we formally submitted nearterm GHG reduction ,"25
"
targets to the Science Based Targets initiative SBTi The ,"12
"
targets  covering scopes 1 2 and 3 emissions and in line ,"25
"
We continue to monitor and assess climaterelated risks ,"13
"
with a 15C pathway  were approved by SBTi in May 2022 ,"12
"
into our business strategy decisions See our inaugural ,"3
"
Green Bond report for information on the financing of our ,"12
"
Framework to identify assess treat monitor and report ,"12
"
on substantive risks Prior to FY21 we conducted a deep ,"18
"
dive into our climaterelated risks and opportunities in ,"13
"
alignment with the Task Force on ClimateRelated Financial ,"13
"
Disclosures TCFD This exercise analyzed both direct and ,"12
"
entire business for Business as Usual and 2Degree climate ,"18
"
In addition Visa has set a goal to achieve netzero ,"12
"
emissions by 2040 10 years ahead of the Paris Climate ,"25
"
Agreement goal This goal covers both direct operations ,"12
"
We have further developed our approach to 100 ,"12
"
procurement options at our largest facilities and data ,"15
"
centers such as utility and renewable programs and to ,"12
"
This demonstrates that Visa is evolving our approach to ,"12
"
renewable electricity procurement to help ensure that our ,"24
"
scenarios We aim to update the TCFD assessment on a ,"12
"
The largest area of impact in our value chain lies with ,"3
"
periodic basis and leverage the findings into our existing ,"12
"
our suppliers We are expanding on associated metrics ,"17
"
As an outcome of this analysis Visa has taken notable ,"12
"
steps to reduce upstream risks in our supply chain ,"17
"
As part of our goal to reach netzero emissions by 2040 in ,"25
"
Beginning in 2018 we began collaborating with CDP to ,"12
"
2021 Visa became a new signatory of The Climate Pledge ,"13
"
an initiative cofounded by Amazon and Global Optimism ,"12
"
supplier engagement program we anticipate that we will ,"17
"
as well as a new member of the Climate Business Network ,"13
"
continue to utilize the CDP Supply Chain survey to collect ,"17
"
a World Wildlife Fund WWF initiative to accelerate action ,"23
"
direct data from our suppliers enhance ESG language in ,"17
"
We harness our global brand and initiatives to drive ,"3
"
our Supplier Code of Conduct develop supplier scorecards ,"17
"
create educational materials on climate topics for internal ,"13
"
beyond our direct operations An example of these ,"18
"
actions was the launch of Visa Eco Benefits a new package ,"12
"
limits on our directors serving on publicly traded company ,"7
"
accountability to our diverse set of stakeholders Our ,"10
"
boards and audit committees We limit our directors ,"7
"
including Visa or two for executive officers of publicly,"7
"
traded companies including Visa The Board  may grant ,"12
"
exceptions to established limits on a casebycase basis ,"12
"
Visa strives to reflect the diversity of our global key ,"8
"
business partners and stockholders in the makeup of ,"7
"
our Board To support this objective the Nominating and ,"12
"
candidates from underrepresented groups in the pool from ,"8
"
of April 2022 Visas overall board diversity gender race ,"8
"
ethnicity is at 64 with gender diversity specifically at 36,"8
"
policies and practices to confirm we meet or exceed the ,"12
"
requirements of applicable laws and the New York Stock ,"12
"
Exchanges listing standards and that we are responsive ,"12
"
As of May 2022 Visas Board of Directors is an 11member ,"7
"
board with 10 independent members Al Kelly serves as ,"7
"
our Chief Executive Officer and Chair of the Board and ,"7
"
John Lundgren serves as our Lead Independent Director ,"7
"
the Board Our directors exhibit an effective mix of skills ,"7
"
Our current Board committees include Audit and Risk ,"12
"
pursuant to a written charter available on the Investor ,"12
"
recognition that ESG practices are important elements of ,"3
"
longterm corporate strategy and contribute to Visa being ,"3
"
incorporate and promote ESG factors that are relevant ,"18
"
to the Companys strategic objectives such as inclusion ,"3
"
Our commitment to ethics and compliance is captured in ,"0
"
Visa measures and monitors ethical behavior through the ,"0
"
our Code of Business Conduct and Ethics Code which ,"0
"
use of Regional Scorecard metrics that have direct impact ,"12
"
applies to everyone working with or on behalf of Visa ,"12
"
on performance rating decisions and associated bonus of ,"4
"
including employees contingent staff and the Board of ,"7
"
first line business leaders Every quarter our Compliance ,"3
"
Directors We provide a Code of Business Conduct and ,"7
"
leaders review status of progress against agreed upon ,"12
"
goals with the regional president and country managers ,"7
"
retention of content achieving a 100 completion rate for ,"8
"
and report at year end on achievement of those goals to ,"10
"
the Visa Chairman and CEO and President These metrics ,"12
"
The Code includes a supplemental Code of Ethics for ,"0
"
senior officers to engage in honest and ethical conduct in ,"0
"
performing their duties and provides guidelines for the ,"12
"
For more on our approach to executive compensation please ,"11
"
refer to page 7 of the report and our 2022 Proxy Statement ,"12
"
We work to maintain the trust of our stakeholders ,"10
"
through our culture of honesty and integrity in which we ,"0
"
hold ourselves to the highest ethical standards and by ,"0
"
and controls to manage legal and regulatory risk drive ,"12
"
an ethical culture and empower the business to achieve ,"0
"
Visas objectives legally and with integrity The Office of the ,"12
"
Chief Ethics  Compliance Officer along with the business ,"0
"
leadership is responsible for Visas global compliance and ,"12
"
ethical handling of conflicts of interest and reporting of ,"0
"
by a third party to allow anyone to share questions ,"22
"
concerns or comments online or by phone 24 hours a day ,"0
"
seven days a week Additionally our Speak Up Campaign ,"10
"
